"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AHZERFAI","journalArticle","","","James River Basin Drought Preparedness Study: National study of water management during drought","","","","","","","","2026-01-10 22:10:29","2026-01-10 22:10:29","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\GLZA2BEZ\p16021coll2_14440.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPRULZ2Y","journalArticle","","","National Waterways Roundtable papers: Proceedings on the history and evolution of U.S. waterways and ports","","","","","","","","2026-01-10 22:10:31","2026-01-11 06:24:00","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\Q4TKKDIK\p16021coll2_15227 (1).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JGSXBPN","journalArticle","","Thoma, Mark","Market Adjustments over Transportation Networks","","","","","","","","2026-01-10 22:10:36","2026-01-10 22:10:36","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\EE2MPQU9\p16021coll2_3774.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KR3VLRE3","journalArticle","","Wilson, Drs William W","Longer-Term Forecasting of Commodity Flows on the Mississippi River: Application to Grains and World Trade","","","","","","","","2026-01-10 22:10:37","2026-01-10 22:10:37","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\FBQCR8B9\p16021coll2_3769.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FG45BZFP","journalArticle","","Wilson, William; Koo, Won; Taylor, Richard; Dahl, Bruce","Long-Term Forecasting of World Grain Trade and US Gulf Exports","Transportation Research Record","","","","","","","2026-01-10 22:10:39","2026-01-10 22:10:39","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\83N52H53\p16021coll2_3768.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEKLAHCQ","journalArticle","2005","","Long-Term Forecasting of World Grain Trade and U.S. Gulf Exports","Transportation Research Record","","","","","","2005","2026-01-10 22:10:40","2026-01-10 22:10:40","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\PN937V5V\p16021coll2_3760.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LCMTZLW","report","1987","Yoe, Charles E.","Lock Rehabilitation, A Public Infrastructure Problem: The Value of Increased Productivity in Mean Lockage Performance.:","","","","","http://www.dtic.mil/docs/citations/ADA184386","","1987-01-01","2026-01-10 22:10:42","2026-01-10 22:10:42","2026-01-10 22:10:42","","","","","","","Lock Rehabilitation, A Public Infrastructure Problem","","","","","Defense Technical Information Center","Fort Belvoir, VA","en","","","","","DOI.org (Crossref)","","DOI: 10.21236/ADA184386","","C:\Users\wsd3\Zotero\storage\F5DCEWUW\p16021coll2_6770.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVIGN43A","journalArticle","","Sorrel, Bayou; Allen, Port","GIWW MORGAN CTY-PORT ALLEN ALT RTE","","","","","","","","2026-01-10 22:10:44","2026-01-10 22:10:44","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\HNPK9LZY\p16021coll2_2601.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5XD23VCW","journalArticle","","","Spatial Modeling in Transportation: Congestion and Mode Choice","","","","","","We construct an equilibrium model of sequential bottlenecks in a transportation network. The model is applied to transport mode usage in the context of river (barge) traffic. The main alternative is rail, and barge must be supplemented by trucking (which also enters as a stand-alone option). We allow for congestion on the waterway, as well as congestion avoidance by trucking past congested areas (such as locks). Finally, we endogenize the price of river transport and show when a unique equilibrium exists. The equilibrium specifies the mode choice, congestion times, and barge rates for the system.","","2026-01-10 22:10:46","2026-01-10 22:10:46","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\94T8B9HP\p16021coll2_3780.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZG54IV2J","journalArticle","","Train, Kenneth; Wilson, Wesley","SHIPPERS’ RESPONSES TO CHANGES IN TRANSPORTATION RATES AND TIMES  The Mid-American Grain Study","","","","","","","","2026-01-10 22:10:48","2026-01-10 22:10:48","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\IAH4AVJM\p16021coll2_3758.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AZ97957L","journalArticle","","","Shipper and Carrier Response to the October - December 2005 and January – February 2006 Lock 27 Closures","","","","","","","","2026-01-10 22:10:49","2026-01-10 22:10:49","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\C8W95KEV\p16021coll2_3740.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5TI867IP","journalArticle","2008","","Shipper and Carrier Response to the June-July 2008 Upper Mississippi River Flood Emergency Closure of Locks 12-25","","","","","","","2008","2026-01-10 22:10:50","2026-01-10 22:10:50","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\7TBZWQNQ\p16021coll2_3775.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D7UK4N7C","journalArticle","2004","","Shipper and Carrier Response to the July – August 2004 Lock 27 Closure","","","","","","","2004","2026-01-10 22:10:51","2026-01-10 22:10:51","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\DB4FTF89\p16021coll2_3788.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QC7L2ZIE","journalArticle","","","Projected and actual traffic on inland waterways","","","","","","","","2026-01-10 22:10:54","2026-01-10 22:10:54","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\UUBPHFPA\p16021coll2_14611.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KG6N5B3M","journalArticle","","","Recent developments in the McClellan-Kerr Arkansas River navigation system area","","","","","","","","2026-01-10 22:10:57","2026-01-10 22:10:57","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\8V6294GH\p16021coll2_1323.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XQVRIIZ","journalArticle","","Bushnell, Wesley; Knight, Kevin","Regional Economic Development (RED) Procedures Handbook","Regional Economic Development","","","","","","","2026-01-10 22:10:58","2026-01-10 22:10:58","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\MDHADAVC\p16021coll2_3847.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVC3BHYN","journalArticle","","","Report on the current status of selected U.S. waterways in 1985","","","","","","","","2026-01-10 22:11:00","2026-01-10 22:11:00","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\FGUTNLLH\p16021coll2_16211.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSTN265I","journalArticle","","","Ohio River Transportation Needs Survey","","","","","","","","2026-01-10 22:11:03","2026-01-10 22:11:03","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\GHJHS4WK\p16021coll2_3766.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A56GYBMZ","journalArticle","","","An overview of the commercial navigation industry of the United States on the Great Lakes","","","","","","","","2026-01-10 22:11:06","2026-01-10 22:11:06","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\79RYLBPS\p16021coll2_14441.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FCWL5PVF","journalArticle","","","Trends in waterborne commerce of the United States","","","","","","","","2026-01-10 22:11:07","2026-01-10 22:11:07","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\U6AEJUV7\p16021coll2_15235.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69RT5PWD","journalArticle","","Train, Kenneth; Wilson, Wesley W","Transportation Demands for the Movement of Non-Agricultural Commodities Pertinent to the Upper Mississippi  and Illinois River Basin","","","","","","","","2026-01-10 22:11:10","2026-01-10 22:11:10","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\ZSBPGGL8\p16021coll2_3744.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQGA6DTI","journalArticle","","Train, Kenneth; Wilson, Wesley W","Transportation Demand for Agricultural Products in the Upper Mississippi  and Illinois River Basin","","","","","","","","2026-01-10 22:11:12","2026-01-10 22:11:12","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\SDX7BQ4Y\p16021coll2_3777.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7LX5IWEQ","journalArticle","","Plott, Charles R","Tradeable Permit Markets for Locks on inland waterways","","","","","","","","2026-01-10 22:11:13","2026-01-10 22:11:13","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\WVDSVD6Z\p16021coll2_3752.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6EXSIGP","journalArticle","","Hofseth, Keith","The Navigation Economics Technology Research Program","","","","","","The U.S. Army Corps of Engineers (Corps), as part of its overall mission, assists in the development and improvement of U.S. ports. The improvements of interest relate primarily to waterway enhancements, such as channel widening and deepening, and provision of moorings and turning basins. Economic analyses of such improvements require estimating the reduction in transportation costs directly attributable to any proposed enhancement. Expenditure of Federal dollars for navigation improvements requires authorization and appropriation by Congress and the President. This process involves review of the proposed plans by stakeholders and other nongovernment organizations as well as the Corps. One focus of the debate in this review process has been the models used to evaluate projects. The nature of the Corps planning process and project review would be much enhanced if evaluation models were peer reviewed and as transparent as possible. The Navigation Economic Technologies (NETS) research program is designed to develop a standardized and defensible suite of economic tools for navigation improvement evaluation. The NETS research program has two focus points: expansion of the body of knowledge about the economics underlying uses of the waterways; and creation of a toolbox of practical planning models, methods and techniques that can be applied to a variety of situations.","","2026-01-10 22:11:16","2026-01-10 22:11:16","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\WLKMIW9N\p16021coll2_3749.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGGENATD","journalArticle","","","The national dredging needs study of ports and harbors: Literature search","","","","","","","","2026-01-10 22:11:17","2026-01-10 22:11:17","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\KBBKRYTK\p16021coll2_6794.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGPXBL6D","journalArticle","","","A River, A Region and a Research Problem","","","","","","","","2026-01-10 22:11:19","2026-01-10 22:11:19","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\LK6MXXQE\p16021coll2_6744.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KCGKWCAV","document","","","p16021coll2_1426","","","","","","","","2026-01-11 06:27:43","2026-01-11 06:27:43","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\7RGEAC32\p16021coll2_1426.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75MHPC83","document","","","p16021coll2_3746","","","","","","","","2026-01-11 06:27:44","2026-01-11 06:27:44","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\UK6LXZER\p16021coll2_3746.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4B8JSDF","document","","","p16021coll2_14894","","","","","","","","2026-01-11 06:27:44","2026-01-11 06:27:44","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\ENRH58A7\p16021coll2_14894.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W5LVDML7","document","","","p16021coll2_3781","","","","","","","","2026-01-11 06:27:44","2026-01-11 06:27:44","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\Y5ERXISU\p16021coll2_3781.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G3MY3FPT","document","","","p16021coll2_3212","","","","","","","","2026-01-11 06:27:45","2026-01-11 06:27:45","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\H3RB2HNY\p16021coll2_3212.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QJ54PSLV","document","","","p16021coll2_3855","","","","","","","","2026-01-11 06:27:45","2026-01-11 06:27:45","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\GQSMIYI6\p16021coll2_3855.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZWTTHEW","document","","","p16021coll2_3741","","","","","","","","2026-01-11 06:27:45","2026-01-11 06:27:45","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\N64SA2VW\p16021coll2_3741.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2L6XNK6","document","","","p16021coll2_3783","","","","","","","","2026-01-11 06:27:45","2026-01-11 06:27:45","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\HDZLJJMD\p16021coll2_3783.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKZYRNGX","document","","","p16021coll2_16212","","","","","","","","2026-01-11 06:27:46","2026-01-11 06:27:46","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\5PC4SQ3Y\p16021coll2_16212.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FVTWWDZB","document","","","p16021coll2_16284","","","","","","","","2026-01-11 06:27:46","2026-01-11 06:27:46","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\9ITHG4N7\p16021coll2_16284.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FK5BWBMQ","document","","","p16021coll2_16284 (1)","","","","","","","","2026-01-11 06:27:46","2026-01-11 06:27:46","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\LJ29FDK7\p16021coll2_16284 (1).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGDIVITW","journalArticle","","","p16021coll2_3863","","","","","","","","2026-01-11 06:27:47","2026-01-11 16:37:11","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\6AHCQS6Y\p16021coll2_3863.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNQP6394","document","","","p16021coll2_3757","","","","","","","","2026-01-11 06:27:47","2026-01-11 06:27:47","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\CSQTKWFU\p16021coll2_3757.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WY7FUT6H","journalArticle","","Wetzstein, Brian","Forecasting Agricultural Commodity Transportation Costs: Mississippi River Barge Rates","","","","","","","","2026-01-11 16:10:23","2026-01-11 16:10:23","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\DLBLJNK3\WetzsteinForecasting Agricultural.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEJG93NH","journalArticle","2019","Wetzstein, Brian; Florax, Raymond; Foster, Kenneth; Binkley, James","Rejuvenating Mississippi River's Post‐Harvest Shipping","Applied Economic Perspectives and Policy","","2040-5790, 2040-5804","10.1093/aepp/ppy029","https://onlinelibrary.wiley.com/doi/10.1093/aepp/ppy029","The Mississippi River plays a vital role in the global competitiveness of U.S. agricultural commodities. The key to the river’s effectiveness is how efﬁciency it can carry bulk loads. However, limited research has investigated how barge-load size affects efﬁciency. It is hypothesized that increasing the load-size will enhance barge transportation efﬁciency. As a test, a vector autoregressive model was developed, with results supporting the hypothesis. Barge-rate volatility and magnitude may be reduced by regulating draft depth, which is the main constraint for barge load size.","2019-12","2026-01-11 16:10:25","2026-01-11 16:10:25","2026-01-11 16:10:25","723-741","","4","41","","Applied Eco Perspectives Pol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\wsd3\Zotero\storage\CCVT97H4\Wetzstein-RejuvenatingMississippiRivers-2019_2051045d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WPWJAIMQ","journalArticle","","Wetzstein, Brian","Forecasting Agricultural Commodity Transportation Costs: Mississippi River Barge Rates","","","","","","","","2026-01-11 16:21:31","2026-01-11 16:21:31","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\JLLBXWJ9\WetzsteinForecasting Agricultural.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I594PTKX","journalArticle","2019","Wetzstein, Brian; Florax, Raymond; Foster, Kenneth; Binkley, James","Rejuvenating Mississippi River's Post‐Harvest Shipping","Applied Economic Perspectives and Policy","","2040-5790, 2040-5804","10.1093/aepp/ppy029","https://onlinelibrary.wiley.com/doi/10.1093/aepp/ppy029","The Mississippi River plays a vital role in the global competitiveness of U.S. agricultural commodities. The key to the river’s effectiveness is how efﬁciency it can carry bulk loads. However, limited research has investigated how barge-load size affects efﬁciency. It is hypothesized that increasing the load-size will enhance barge transportation efﬁciency. As a test, a vector autoregressive model was developed, with results supporting the hypothesis. Barge-rate volatility and magnitude may be reduced by regulating draft depth, which is the main constraint for barge load size.","2019-12","2026-01-11 16:21:33","2026-01-11 16:21:33","2026-01-11 16:21:33","723-741","","4","41","","Applied Eco Perspectives Pol","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\wsd3\Zotero\storage\GHITR4BA\Wetzstein-RejuvenatingMississippiRivers-2019_2051045d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y96CZTRM","document","","","Thoma-MarketAdjustmentsTransportation-2007_120383b6","","","","","","","","2026-01-11 16:39:53","2026-01-11 16:39:53","","","","","","","","","","","","","","","","","","","","","","","","C:\Users\wsd3\Zotero\storage\3N64JRWQ\Thoma-MarketAdjustmentsTransportation-2007_120383b6.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YWU84J3M","journalArticle","","","Transportation Lines on the Mississippi River System and the Gulf Intracoastal Waterway; Transportation Series 4; 1980.","","","","","","","","2026-01-29 17:37:51","2026-01-29 17:37:51","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\8RQCLT7I\ADA121619.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9W5EXLCU","report","2019","","Barge Traffic Disruptions and Their Effects on Shipping Costs in Agricultural Freight Corridors Summary","","","","","https://www.ams.usda.gov/sites/default/files/media/BargeTrafficDisruptions.pdf","","2019-12-13","2026-01-29 17:37:54","2026-01-29 17:37:54","2026-01-29 17:37:54","","","","","","","","","","","","U.S. Department of Agriculture, Agricultural Marketing Service","","en","","","","","DOI.org (Crossref)","","DOI: 10.9752/TS250.12-2019","","C:\Users\wsd3\Zotero\storage\HJFGNV4D\BargeTrafficDisruptions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SXQMEXXC","journalArticle","","Herbert, Berneece S","Assessing Maritime Infrastructure along the Mississippi: Chokepoints and Implications for Food Security","","","","","","","","2026-01-29 17:37:56","2026-01-29 17:37:56","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\KNLXR7UY\dot_73425_DS1 (1).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5BYC5EPF","journalArticle","","Herbert, Berneece S","Assessing Maritime Infrastructure along the Mississippi: Chokepoints and Implications for Food Security","","","","","","","","2026-01-29 17:37:57","2026-01-29 17:37:57","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\YED55JBU\dot_73425_DS1.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5WMSFIFZ","journalArticle","","Jiao, Hongxia","Low Mississippi River Barge Disruptions: Effects on Grain Barge Movement, Basis, and Fertilizer Prices","","","","","","","","2026-01-29 17:37:58","2026-01-29 17:37:58","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\CI9FWKK7\fdd110222 (1).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8IUGU883","journalArticle","","Jiao, Hongxia","Low Mississippi River Barge Disruptions: Effects on Grain Barge Movement, Basis, and Fertilizer Prices","","","","","","","","2026-01-29 17:38:00","2026-01-29 17:38:00","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\wsd3\Zotero\storage\5MNWKSUI\fdd110222.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TBZN2QAX","journalArticle","2010","Yu, Tun-Hsiang; Zhang, Jin; Fuller, Stehen","Freight Transportation Demands on the Upper Mississippi and Illinois Rivers","Journal of the Transportation Research Forum","","1046-1469","10.5399/osu/jtrf.45.2.941","https://journals.oregondigital.org/trforum/article/view/4521","This paper estimates structural demands for grain transportation on the upper Mississippi and Illinois Rivers. Grain is the predominant commodity transported on these waterways. Analysis indicates Seemingly Unrelated Regression (SUR) to be a superior method for estimating each waterway's structural demand. Results show rates, foreign and domestic demands, floods, season, and river water level influence demands. Further, the analysis suggests that a detailed analysis of river freight demand is a necessary precursor of a defendable study into the economic feasibility of improving transportation infrastructure on the upper Mississippi and Illinois Rivers.","2010-10-14","2026-01-29 17:38:03","2026-01-29 17:38:03","2026-01-29 17:38:03","","","","","","J Transp  Res Forum","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\wsd3\Zotero\storage\TECDYVY2\Freight_Transportation_Demands_on_the_Upper_Missis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
