Bill of Lading Number,Arrival Date,Matching Fields,Consignee,Consignee D-U-N-S®,Consignee Global HQ D-U-N-S®,Consignee Domestic HQ D-U-N-S®,Shipper,Shipper D-U-N-S®,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ D-U-N-S®,Carrier,Notify Party,Port of Unlading,Port of Lading,Vessel,Vessel Voyage ID,Vessel IMO,Quantity,Measurement,Weight (kg),Weight (t),Weight (Original Format),Value of Goods (USD),Manifest Number,Industry - GICS,Industry - GICS Description,HS Code,Goods Shipped,_source_file,_source_dir,Group,Category,Cargo,Cargo Detail,Shipper Unified,Consignee Unified,Notify Unified,Report 1,Report 2,Report 3,Report 4,Report 5,Report 6,Filter,Count,H_Shipper_Unified,H_Shipper_Ultimate_Parent,H_Shipper_SIC_Codes,H_Shipper_Match_Method,H_Shipper_Match_Confidence,H_Shipper_Dict_Key,H_Consignee_Unified,H_Consignee_Ultimate_Parent,H_Consignee_Primary_Region,H_Consignee_Match_Method,H_Consignee_Match_Confidence,H_Consignee_Dict_Key,H_Carrier_Unified,H_Carrier_Type,H_Carrier_Match_Method,H_Carrier_Match_Confidence,H_HS2,H_HS4,H_HS6,H_HS_Parsed,H_HS_Match_Method,H_HS_Match_Confidence,H_Cargo_Group,H_Cargo_Category,H_Cargo_Type,H_Cargo_Detail,H_Cargo_Match_Method_wsd,H_Cargo_Match_Confidence,H_Port_Unlading_Unified,H_Port_Unlading_Region,H_Agency_Market,H_Port_Lading_Unified,H_Port_Lading_Country,H_Country_Code,H_Country_ISO,H_Subregion,H_World_Region,H_Trade_Region,H_Trade_Lane,H_Is_Bulk,H_Weight_Tier,H_Shipper_Dict_Version,H_Shipper_Match_Timestamp,H_Consignee_Dict_Version,H_Consignee_Match_Timestamp,Year,H_Cargo_Match_Method,H_Port_Lading_Region
PBIHSABA9801,2025-10-03,,Glacier Northwest Inc.,,,,Vissai Ninh Binh Jsc,,,,PBIH - Pacific Basin Handysize Ltd,"GLACIER NORTHWEST, INC.
5975 EAST MARGINAL WAY, SOUTH SEATTLE, WA 98134 U.S.A., TEL: 1-626-852-6203","Port of Seattle, Seattle, Washington","All Other Viet Nam Ports, Vietnam",SANTIAGO BASIN,98,,1 BLK, ,30190000.0,30190.0,30190000 KG,,1.0,15104050.0,Steel,Classified: 7312.10,BLENDED HYDRAULIC CEMENT IN BULK TO CONFORM W ITH ASTM-C TYPE IL LOW ALKALI,Panjiva-US_Imports-all-results_1_to_1468_of_1468-2025-10-21-15-35_processed.csv,others,,,,,,,,,,,,,,,,VISSAI NINH BINH JSC,,,exact,1.0,NAME_VISSAININHBINHJSC,TAIHEIYO CEMENT,Taiheiyo Cement Corporation,Pacific Region,exact,1.0,UPSPCIQ_874419,,,,,73.0,7312.0,731210.0,731210.0,direct,1.0,Steel & Metals,,Finished Steel,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated:",,0.9,"Port of Seattle, Seattle, Washington",West Coast,,"All Other Viet Nam Ports, Vietnam",,,,,,,VI-WEST,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CINT4223MORABU01,2025-10-03,,Hollingshead Cement Llc,,,,Amreyah Cement Co.,,,,CINT - Cargill International S A,"HOLLINGSHEAD CEMENT LLC
1000 HOLLINGSHEAD CIRCLE, MURFREESBORO ,TN 37129","Houston, Houston, Texas","Abu Kir Bay, Egypt",OCEAN HARVEST,1,,1 BLK, ,26300000.0,26300.0,26300 ET,,1.0,15103010.0,Metal & Glass Containers,Classified: 7010.90,",. MT GRAY CEMENT TYPE I II",Panjiva-US_Imports-all-results_1_to_1468_of_1468-2025-10-21-15-35_processed.csv,others,,,,,,,,,,,,,,,,AMREYAH CEMENT,,,exact,1.0,NAME_AMREYAHCEMENT,HOLLINGSHEAD CEMENT,Hollingshead Cement Llc,Southeast Region,exact,1.0,UPSPCIQ_1939954244,,,,,70.0,7010.0,701090.0,701090.0,direct,1.0,General Cargo,,General Cargo,"Carboys, bottles, flasks, jars, pots, vials, ampoules and other containers, of glass, of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers, lids and other closures, of glass:",,0.9,"Houston, Houston, Texas",Gulf,,"Abu Kir Bay, Egypt",,,,,,,EG-GULF,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CINT4223MORABU02,2025-10-03,,Sesco Cement Corp.,,,,Cleopatra Industries For Building,,,,CINT - Cargill International S A,"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY SUIRE 800, HOUSTON TEXAS USA 77092, 281-319-0270","Houston, Houston, Texas","Abu Kir Bay, Egypt",OCEAN HARVEST,1,,1 BLK, ,8901000.0,8901.0,8901 ET,,1.0,15102010.0,Construction Materials,Classified: 2523.21,",. MT WHITE CEMENT MASONARY",Panjiva-US_Imports-all-results_1_to_1468_of_1468-2025-10-21-15-35_processed.csv,others,,,,,,,,,,,,,,,,CLEOPATRA INDUSTRIES FOR BUILDING,,,exact,1.0,NAME_CLEOPATRAINDUSTRIESFORBUILDING,SESCO CEMENT,Sesco Cement Corp.,Southwest Region,exact,1.0,UPSPCIQ_555199289,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"Houston, Houston, Texas",Gulf,,"Abu Kir Bay, Egypt",,,,,,,EG-GULF,False,Medium,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CINT4223MORABU03,2025-10-03,,Sesco Cement Corp.,,,,Amreyah Cement Co.,,,,CINT - Cargill International S A,"INTEGRITY CUSTOMS BROKERAGE
2900 NORTH LOOP WEST FWY SUIRE 800, HOUSTON TEXAS USA 77092, 281-319-0270","Houston, Houston, Texas","Abu Kir Bay, Egypt",OCEAN HARVEST,1,,1 BLK, ,6999000.0,6999.0,6999 ET,,1.0,15102010.0,Construction Materials,Classified: 2523.21,",. MT GRAY MASONARY",Panjiva-US_Imports-all-results_1_to_1468_of_1468-2025-10-21-15-35_processed.csv,others,,,,,,,,,,,,,,,,AMREYAH CEMENT,,,exact,1.0,NAME_AMREYAHCEMENT,SESCO CEMENT,Sesco Cement Corp.,Southwest Region,exact,1.0,UPSPCIQ_555199289,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"Houston, Houston, Texas",Gulf,,"Abu Kir Bay, Egypt",,,,,,,EG-GULF,False,Medium,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
WETB027066,2025-10-03,,Hm Northwest Cement Co.,,,,Heidelberg Materials Canada Ltd.,,,,WETB - Western Towboat Company,"LOGISTEED AMERICA, INC.
1000 CORPORATE CENTER DR, SUITE 400, MONTEREY PARK, CA, US, 91754, TE323-263-81","Port of Seattle, Seattle, Washington","Vancouver, BC, Canada",PACIFIC SOUNDER,27066,,1 BLK, ,6350000.0,6350.0,6350000 KG,,1.0,15101010.0,Commodity Chemicals,Classified: 2811.22,BULK CEMENT,Panjiva-US_Imports-all-results_1_to_1468_of_1468-2025-10-21-15-35_processed.csv,others,,,,,,,,,,,,,,,,HEIDELBERG MATERIALS CANADA,,,exact,1.0,NAME_HEIDELBERGMATERIALSCANADA,HM NORTHWEST CEMENT,,Pacific Region,exact,1.0,NAME_HMNORTHWESTCEMENT,,,,,28.0,2811.0,281122.0,281122.0,direct,1.0,General Cargo,,General Cargo,Other inorganic acids and other inorganic oxygen compounds of nonmetals:,,0.9,"Port of Seattle, Seattle, Washington",West Coast,,"Vancouver, BC, Canada",,,,,,,CA-WEST,False,Medium,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
SYMQ77202025021,2025-10-02,,Mcinnis Usa Inc.,,,,St. Mary's Cement Corp.,,,,SYMQ - St Marys Cement Inc (Canada),"MCINNIS USA INC.
50 OAK AVENUE, BRONXNY 10474, US","ProvPort, Providence, Rhode Island","Montreal, Que, Canada",NACC ARGONAUT,2518,9287302.0,1 BLK, CM,12003608.0,12003.61,12003608 K,,9790.0,15102010.0,Construction Materials,Classified: 2523.21,",. MT ORDINARY PORTLAND CEMENT",Panjiva-US_Imports-all-results_1_to_1468_of_1468-2025-10-21-15-35_processed.csv,others,,,,,,,,,,,,,,,,HEJOASSU ADMINISTRAÇÃO,Hejoassu Administração S.A.,3241,exact,1.0,UPSPCIQ_22453799,MCINNIS USA,Mcinnis Usa Inc.,New York Region,exact,1.0,UPSPCIQ_1820584918,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"ProvPort, Providence, Rhode Island",East Coast,,"Montreal, Que, Canada",,,,,,,CA-EAST,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CSSLTACO25020,2025-10-02,,,,,,,,,,CSSL - The Csl Group Inc,,"Port Of NewHampshire, Portsmouth, New Hampshire","Halifax, Ns, Canada",CSL TACOMA,25020,,1 BLK, CF,49510000.0,49510.0,49510000 KG,,1.0,15102010.0,Construction Materials,Classified: 2520.10,GYPSUM ROCK,Panjiva-US_Imports-all-results_1_to_1468_of_1468-2025-10-21-15-35_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,25.0,2520.0,252010.0,252010.0,direct,1.0,Construction Materials,,Gypsum,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulfate) whether or not colored, with or without small quantities of accelerators or retarders:",,0.9,"Port Of NewHampshire, Portsmouth, New Hampshire",,,"Halifax, Ns, Canada",,,,,,,CA-US,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
ULTH251775001002,2025-10-01,,Tronox Llc,,,,Tronox Mineral Sands (Pty) ) Ltd.,,,,ULTH - Ultrabulk,"PAGE & JONES
52 NORTH JACKSON STREET, MOBILEAL 36602, US, TE251-287-8715","Alabama State Port Authority, Mobile, Alabama","Richard's Bay, South Africa",BBC JUPITER,50001,9577630.0,1 BLK, CM,19811380.0,19811.38,19811380 K,,9593.0,25102010.0,Automobile Manufacturers,Classified: 8703.33,",. MT SAID TO BE TI ORE KZN SLAG (CHLORIDE SLAG) IN BULK",Panjiva-US_Imports-all-results_1_to_1468_of_1468-2025-10-21-15-35_processed.csv,others,,,,,,,,,,,,,,,,TRONOX MINERAL SANDS ( (PTY) ),,3291,exact,1.0,NAME_TRONOXMINERALSANDSPTY,TRONOX HOLDINGS,Tronox Holdings Plc,South Central Region,exact,1.0,UPSPCIQ_22603885,,,,,87.0,8703.0,870333.0,870333.0,direct,1.0,General Cargo,,Machinery,"Motor cars and other motor vehicles principally designed for the transport of persons (other than those of heading 8702), including station wagons and racing cars:",,0.9,"Alabama State Port Authority, Mobile, Alabama",Gulf,,"Richard's Bay, South Africa",,,,,,,SO-GULF,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
SYMQ250920251,2025-09-30,,Mcinnis Usa Inc.,,,,St. Mary's Cement Corp.,,,,SYMQ - St Marys Cement Inc (Canada),"MCINNIS USA INC.
50 OAK AVENUE, BRONXNY 10474, US","ProvPort, Providence, Rhode Island","Montreal, Que, Canada",NACC PROVIDENCE,2515,9326342.0,1 BLK, CM,4204800.0,4204.8,4204800 K,,9766.0,15102010.0,Construction Materials,Classified: 2523.21,ORDINARY PORTLAND CEMENT (HEL),Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,HEJOASSU ADMINISTRAÇÃO,Hejoassu Administração S.A.,3241,exact,1.0,UPSPCIQ_22453799,MCINNIS USA,Mcinnis Usa Inc.,New York Region,exact,1.0,UPSPCIQ_1820584918,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"ProvPort, Providence, Rhode Island",East Coast,,"Montreal, Que, Canada",,,,,,,CA-EAST,False,Medium,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
SYMQ250920252,2025-09-30,,Mcinnis Usa Inc.,,,,St. Mary's Cement Corp.,,,,SYMQ - St Marys Cement Inc (Canada),"MCINNIS USA INC.
50 OAK AVENUE, BRONXNY 10474, US","ProvPort, Providence, Rhode Island","Montreal, Que, Canada",NACC PROVIDENCE,2515,9326342.0,1 BLK, CM,4403700.0,4403.7,4403700 K,,9766.0,15102010.0,Construction Materials,Classified: 2523.21,ORDINARY PORTLAND CEMENT (LA-L),Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,HEJOASSU ADMINISTRAÇÃO,Hejoassu Administração S.A.,3241,exact,1.0,UPSPCIQ_22453799,MCINNIS USA,Mcinnis Usa Inc.,New York Region,exact,1.0,UPSPCIQ_1820584918,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"ProvPort, Providence, Rhode Island",East Coast,,"Montreal, Que, Canada",,,,,,,CA-EAST,False,Medium,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CSSLTECU250181,2025-09-30,,Eagle Rock Aggregates Inc.,,,,Orca Sand And Gravel Ltd.,,,,CSSL - The Csl Group Inc,,"Port of Long Beach, Long Beach, California","All Other Canada Pacific Region Ports, Canada",CSL TECUMSEH,25018,,1 BLK, CF,63038000.0,63038.0,63038000 KG,,1.0,15102010.0,Construction Materials,Classified: 2517.10,CONCRETE SAND AND GRAVEL,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,ORCA SAND AND GRAVEL,,1442,exact,1.0,NAME_ORCASANDANDGRAVEL,EAGLE ROCK AGGREGATES,,Pacific Region,exact,1.0,NAME_EAGLEROCKAGGREGATES,,,,,25.0,2517.0,251710.0,251710.0,direct,1.0,Construction Materials,,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated:",,0.9,"Port of Long Beach, Long Beach, California",West Coast,,"All Other Canada Pacific Region Ports, Canada",,,,,,,CA-WEST,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
NYKB040000870,2025-09-29,,The Essex Cement Co. Llc,,,,Titan Cement Company S.A.,,,,NYKB - Nyk Bulk & Projects Carriers Ltd,"ESSEX CEMENT CO LLC
BUILDING 182 CALCUTTA STR PORT, NEWARK  NJ 07114","New York/Newark Area, Newark, New Jersey","Elefsis, Greece",THOR MENELAUS,01,9303924.0,1 DBK, ,28310000.0,28310.0,28310000 KG,,1000.0,15102010.0,Construction Materials,Classified: 2523.21,PORTLAND CEMENT TYPE I/II C- TYPE I/II LOW ALKALI AND AASHTO M TYPE I/II,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,TITAN,Titan S.A.,"3241, 3255",exact,1.0,UPSPCIQ_874331,THE ESSEX CEMENT,,New York Region,exact,1.0,NAME_THEESSEXCEMENT,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"New York/Newark Area, Newark, New Jersey",East Coast,,"Elefsis, Greece",,,,,,,GR-EAST,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
OMIW027032,2025-09-28,,Ash Grove Cement Co.,,,,Amrize Canada Inc.,,,,OMIW - Olson Marine Inc,"GEORGE S. BUSH &AMP; CO., INC.
5331 S MACADAM AVE, STE 370, PORTLAND, OR, US, 97239, TE503-228-6501","Port of Portland, Portland, Oregon","Beale Cove, Bc, Canada",YELLOW CEDAR,27032,,1 BLK, ,8964000.0,8964.0,8964000 KG,,1.0,15102010.0,Construction Materials,Classified: 2518.10,BULK LIMESTONE AND DOLOMITE,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,AMRIZE CANADA,,,exact,1.0,NAME_AMRIZECANADA,,,,unmatched,0.0,,,,,,25.0,2518.0,251810.0,251810.0,direct,1.0,Minerals,,Dolomite,"Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape:",,0.9,"Port of Portland, Portland, Oregon",West Coast,,"Beale Cove, Bc, Canada",,,,,,,CA-WEST,False,Medium,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CSSLVISN25022,2025-09-28,,,,,,,,,,CSSL - The Csl Group Inc,,"Baltimore, Maryland","Halifax, Ns, Canada",ALGOMA VISION,25022,,1 BLK, CF,41523000.0,41523.0,41523000 KG,,1.0,15102010.0,Construction Materials,Classified: 2520.10,GYPSUM ROCK,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,,,,unmatched,0.0,,,,,unmatched,0.0,,,,,,25.0,2520.0,252010.0,252010.0,direct,1.0,Construction Materials,,Gypsum,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulfate) whether or not colored, with or without small quantities of accelerators or retarders:",,0.9,"Baltimore, Maryland",East Coast,,"Halifax, Ns, Canada",,,,,,,CA-EAST,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CSSLJACK250193,2025-09-28,,Eagle Rock Aggregates Inc.,,,,Orca Sand And Gravel Ltd.,,,,CSSL - The Csl Group Inc,,"Port of Redwood City, Redwood City, California","All Other Canada Pacific Region Ports, Canada",HON HENRY JACKMAN,25019,,1 BLK, CF,29488800.0,29488.8,29488800 KG,,1.0,15102010.0,Construction Materials,Classified: 2517.10,CONCRETE SAND AND GRAVEL,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,ORCA SAND AND GRAVEL,,1442,exact,1.0,NAME_ORCASANDANDGRAVEL,EAGLE ROCK AGGREGATES,,Pacific Region,exact,1.0,NAME_EAGLEROCKAGGREGATES,,,,,25.0,2517.0,251710.0,251710.0,direct,1.0,Construction Materials,,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated:",,0.9,"Port of Redwood City, Redwood City, California",,,"All Other Canada Pacific Region Ports, Canada",,,,,,,CA-US,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
SYMQ190920251,2025-09-28,,Mcinnis Usa Inc.,,,,St. Mary's Cement Corp.,,,,SYMQ - St Marys Cement Inc (Canada),"MCINNIS USA INC.
50 OAK AVENUE, THE BRONXNY 10474, US","New York/Newark Area, Newark, New Jersey","Montreal, Que, Canada",NACC NEWYORKER,2511,9499723.0,1 BLK, CM,27655500.0,27655.5,27655500 K,,9750.0,15102010.0,Construction Materials,Classified: 2523.21,",. MT ORDINARY PORTLAND CEMENT (LA-L)",Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,HEJOASSU ADMINISTRAÇÃO,Hejoassu Administração S.A.,3241,exact,1.0,UPSPCIQ_22453799,MCINNIS USA,Mcinnis Usa Inc.,New York Region,exact,1.0,UPSPCIQ_1820584918,,,,,25.0,2523.0,252321.0,252321.0,direct,1.0,Construction Materials,,Cement,"Portland cement, aluminous cement, slag cement, supersulfate cement and similar hydraulic cements, whether or not colored or in the form of clinkers:",,0.9,"New York/Newark Area, Newark, New Jersey",East Coast,,"Montreal, Que, Canada",,,,,,,CA-EAST,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CSSLMETI250042,2025-09-27,,Martin Marietta Aggregates,,,,Martin Marietta Materials Canada Limited,,,,CSSL - The Csl Group Inc,,"Port Manatee, Florida","Auld's Cove, Ns, Canada",CSL METIS,25004,,1 BLK, CF,28127000.0,28127.0,28127000 KG,,1.0,15102010.0,Construction Materials,Classified: 2517.10,CRUSHED GRANITE STONE,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,"MARTIN MARIETTA MATERIALS,","Martin Marietta Materials, Inc.",5032,exact,1.0,UPSPCIQ_31153,MARTIN MARIETTA AGGREGATES,,Southeast Region,exact,1.0,NAME_MARTINMARIETTAAGGREGATES,,,,,25.0,2517.0,251710.0,251710.0,direct,1.0,Construction Materials,,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated:",,0.9,"Port Manatee, Florida",Gulf,,"Auld's Cove, Ns, Canada",,,,,,,CA-GULF,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CSSLJACK250192,2025-09-27,,Eagle Rock Aggregates Inc.,,,,Orca Sand And Gravel Ltd.,,,,CSSL - The Csl Group Inc,,"Port of Richmond, Richmond, California","All Other Canada Pacific Region Ports, Canada",HON HENRY JACKMAN,28019,,1 BLK, CF,27216000.0,27216.0,27216000 KG,,1.0,15102010.0,Construction Materials,Classified: 2517.10,CONCRETE SAND AND GRAVEL,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,ORCA SAND AND GRAVEL,,1442,exact,1.0,NAME_ORCASANDANDGRAVEL,EAGLE ROCK AGGREGATES,,Pacific Region,exact,1.0,NAME_EAGLEROCKAGGREGATES,,,,,25.0,2517.0,251710.0,251710.0,direct,1.0,Construction Materials,,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated:",,0.9,"Port of Richmond, Richmond, California",West Coast,,"All Other Canada Pacific Region Ports, Canada",,,,,,,CA-WEST,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CSSLJACK250191,2025-09-26,,Eagle Rock Aggregates Inc.,,,,Orca Sand And Gravel Ltd.,,,,CSSL - The Csl Group Inc,,"Service Port-San Francisco, San Francisco, California","All Other Canada Pacific Region Ports, Canada",HON HENRY JACKMAN,25019,,1 BLK, CF,15876000.0,15876.0,15876000 KG,,1.0,15102010.0,Construction Materials,Classified: 2517.10,CONCRETE SAND AND GRAVEL,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,ORCA SAND AND GRAVEL,,1442,exact,1.0,NAME_ORCASANDANDGRAVEL,EAGLE ROCK AGGREGATES,,Pacific Region,exact,1.0,NAME_EAGLEROCKAGGREGATES,,,,,25.0,2517.0,251710.0,251710.0,direct,1.0,Construction Materials,,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated:",,0.9,"Service Port-San Francisco, San Francisco, California",West Coast,,"All Other Canada Pacific Region Ports, Canada",,,,,,,CA-WEST,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CSSLVICT25019,2025-09-26,,Martin Marietta Aggregates,,,,Martin Marietta Materials Canada Limited,,,,CSSL - The Csl Group Inc,,"Port Canaveral, Port Canaveral, Florida","Auld's Cove, Ns, Canada",ALGOMA VICTORY,25019,,1 BLK, CF,50665000.0,50665.0,50665000 KG,,1.0,15102010.0,Construction Materials,Classified: 2517.10,CRUSHED GRANITE STONE,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,"MARTIN MARIETTA MATERIALS,","Martin Marietta Materials, Inc.",5032,exact,1.0,UPSPCIQ_31153,MARTIN MARIETTA AGGREGATES,,Southeast Region,exact,1.0,NAME_MARTINMARIETTAAGGREGATES,,,,,25.0,2517.0,251710.0,251710.0,direct,1.0,Construction Materials,,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated:",,0.9,"Port Canaveral, Port Canaveral, Florida",,,"Auld's Cove, Ns, Canada",,,,,,,CA-US,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
CSSLMETI250041,2025-09-25,,Martin Marietta Aggregates,,,,Martin Marietta Materials Canada Limited,,,,CSSL - The Csl Group Inc,,"Tampa, Florida","Auld's Cove, Ns, Canada",CSL METIS,25004,,1 BLK, CF,27778000.0,27778.0,27778000 KG,,1.0,15102010.0,Construction Materials,Classified: 2517.10,CRUSHED GRANITE STONE,Panjiva-US_Imports-all-results_1_to_3808_of_3808-2025-10-21-15-34_processed.csv,others,,,,,,,,,,,,,,,,"MARTIN MARIETTA MATERIALS,","Martin Marietta Materials, Inc.",5032,exact,1.0,UPSPCIQ_31153,MARTIN MARIETTA AGGREGATES,,Southeast Region,exact,1.0,NAME_MARTINMARIETTAAGGREGATES,,,,,25.0,2517.0,251710.0,251710.0,direct,1.0,Construction Materials,,"Sand, Gravel, Stone, Pebbles, Limestone, Aggregates","Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling, or for railway or other ballast; shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 or 2516, whether or not heat-treated:",,0.9,"Tampa, Florida",Gulf,,"Auld's Cove, Ns, Canada",,,,,,,CA-GULF,False,Large,20251206,20251206_214817,20251206,20251206_214817,2025,hs_based,
