Bill of Lading Number,Shipment Date,Matching Fields,Shipper,Shipper Address,Shipper City,Shipper State/Region,Shipper Postal Code,Shipper Country,Shipper Full Address,Shipper Email 1,Shipper Email 2,Shipper Email 3,Shipper Phone 1,Shipper Phone 2,Shipper Phone 3,Shipper Fax,Shipper Website 1,Shipper Website 2,Shipper Profile,Shipper SPCIQ ID,Shipper MI Key,Shipper D-U-N-S®,Shipper Industry,Shipper Revenue,Shipper Employees,Shipper Market Capitalization,Shipper Incorporation Year,Shipper Trade Roles,Shipper SIC Codes,Shipper Stock Tickers,Shipper (Original Format),Shipper Global HQ,Shipper Global HQ Address,Shipper Global HQ D-U-N-S®,Shipper Domestic HQ,Shipper Domestic HQ Address,Shipper Domestic HQ D-U-N-S®,Shipper Ultimate Parent,Shipper Ultimate Parent Website,Shipper Ultimate Parent Headquarters Address,Shipper Ultimate Parent Profile,Shipper Ultimate Parent SPCIQ ID,Shipper Ultimate Parent MI Key,Shipper Ultimate Parent Stock Tickers,Carrier,Shipment Destination,Port of Lading,Port of Lading Region,Port of Lading Country,Port of Unlading,Port of Unlading Region,Port of Unlading Country,Place of Receipt,Vessel,Vessel Country,Vessel SCAC,Transport Flight Code,Is Containerized,Volume (TEU),Item Quantity,Weight (kg),Weight (t),Weight (Original Format),Value of Goods (USD),Equipment Type,Equipment Dimensions,Industry - GICS,Industry - GICS Description,Container Number,HS Code,Goods Shipped,Container Quantities,Divided/LCL
2,2023-03-15,,Ergon Asphalt And Emulsions,2829 Lakeland Drive,Jackson,Mississippi,39232,,"2829 Lakeland Drive, Jackson Mississippi 39232, United States",,,,,,,,,,https://panjiva.com/Ergon-Asphalt-And-Emulsions/132887180,100399101.0,4767140.0,,Construction Materials,,370.0,,1979.0,,,,Ergon Asphalt And Emulsions,,,,,,,"Ergon, Inc.",ergon.com,"2829 Lakeland Drive, Jackson Mississippi 39232, United States",https://panjiva.com/Ergon-Inc/56725745,855645.0,4198460.0,,CSPA - Clearlake Shipping Pte Ltd,Honduras,"Port of New Orleans, New Orleans, Louisiana",South Central Region,United States,"Puerto Cortes, Honduras",Central America,Honduras,MT AIRY,JIN ZHOU WAN,PEOPLES,CSPA - Clearlake Shipping Pte Ltd,20230,,,29595,4854000.0,4854.0,4854.0,971000.0,,,15102010,Construction Materials,,2523,ASPHALT CEMENT AC 30,,
1,2023-03-15,,Ergon Asphalt And Emulsions,2829 Lakeland Drive,Jackson,Mississippi,39232,,"2829 Lakeland Drive, Jackson Mississippi 39232, United States",,,,,,,,,,https://panjiva.com/Ergon-Asphalt-And-Emulsions/132887180,100399101.0,4767140.0,,Construction Materials,,370.0,,1979.0,,,,Ergon Asphalt And Emulsions,,,,,,,"Ergon, Inc.",ergon.com,"2829 Lakeland Drive, Jackson Mississippi 39232, United States",https://panjiva.com/Ergon-Inc/56725745,855645.0,4198460.0,,CSPA - Clearlake Shipping Pte Ltd,Honduras,"Port of New Orleans, New Orleans, Louisiana",South Central Region,United States,"Puerto Cortes, Honduras",Central America,Honduras,MT AIRY,JIN ZHOU WAN,PEOPLES,CSPA - Clearlake Shipping Pte Ltd,20230,,,9000,1476000.0,1476.0,1476.0,295000.0,,,15102010,Construction Materials,,2523,ASPHALT CEMENT AC 30,,
SPCTPRG45257,2023-03-15,,David Dobbs Enterprises,4600 Us 1 N,Saint Augustine,Florida,32095-5701,,"4600 Us 1 N, Saint Augustine Florida 32095-5701, United States",,,,,,,,,,https://panjiva.com/David-Dobbs-Enterprises/133158524,4664645.0,8198312.0,,Commercial Services and Supplies,,150.0,,1980.0,,,,David Dobbs Enterprises,,,,,,,"David Dobbs Enterprises, Inc.",www.menudesigns.com,"4600 Us 1 N, Saint Augustine Florida 32095-5701, United States",https://panjiva.com/David-Dobbs-Enterprises-Inc/57995023,4664645.0,8198312.0,,LPUS - Linea Peninsular Inc,Mexico,"Port Panama City  Florida, Panama City, Florida",South Central Region,United States,"Progreso, Mexico",North America,Mexico,PANAMA CY FL,PROGRESO,Cyprus,LPUS - Linea Peninsular Inc,4428S,,,2,660.0,0.66,0.66,660.0,,,15102010,Construction Materials,,2517.49,MENU MANUFACTURE MATERIAL RECEIVED WITH BOXES CRUSHED  LINEA PENINSULAR NOT RESPONSIBLE FOR DAMAGES,,
PEVCCC001201,2023-03-12,,Global Cement Products,4000 Pinemont Drive,Houston,Texas,77018,,"4000 Pinemont Drive, Houston Texas 77018, United States",,,,,,,,,,https://panjiva.com/Global-Cement-Products/133026776,99358382.0,7563430.0,,Construction Materials,,30.0,,1964.0,,,,Global Cement Products,,,,,,,Cemix Group,www.cemix.com,Mexico,https://panjiva.com/CEMIX-GROUP/59290975,424694096.0,8394664.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"All Other Bahamas Ports, Bahamas",Caribbean,Bahamas,PT EVERGLADES,CARIBBEAN EXPRESS I,Antigua & Barbuda,SILJ - Seacor Island Lines,1864S,,,1,1910.0,1.91,1.91,330.0,,,15102010,Construction Materials,,2523,2 BD LUMBER SHORTSHIPPED FROM GLOBAL CEMENT INVOICE  7409 ON BOL  PEVCCC001185 DATED 2252023 CAR. EXPRESS V 1858S PO  90394135CK1 NOEEI SEC 30.37 A SHIPPED PER CNEES RISK,,
SPCTPRG45235,2023-03-11,,Deere And Co.,3400 80th Street,Moline,Illinois,61265,United States,"3400 80th St, Moline, IL 61265, USA",,,,,,,,,,https://panjiva.com/Deere-And-Co/132935408,,,,,,,,,Manufacturer,,,Deere And Company,,,,,,,,,,,,,,LPUS - Linea Peninsular Inc,Mexico,"Port Panama City  Florida, Panama City, Florida",South Central Region,United States,"Progreso, Mexico",North America,Mexico,PANAMA CY FL,GUADALUPE,Cyprus,LPUS - Linea Peninsular Inc,4427S,,,1,180.0,0.18,0.18,190.0,,,15102010,Construction Materials,,2517.49,AUX HIGH FLOW KIT RECEIVED WITH BOXES CRUSHED  LINEA PENINSULAR NOT RESPONSIBLE FOR DAMAGES,,
10066209,2023-03-06,,Frimpeks,15 Patton Dr,West Caldwell,New Jersey,07006-6404,,"15 Patton Dr, West Caldwell New Jersey 07006-6404, United States",,,,,,,,,,https://panjiva.com/Frimpeks/132987383,1932489969.0,133192327.0,,Chemicals,,11.0,,2010.0,,,,Frimpeks,,,,,,,Frimpeks Inc,www.frimpeks.com,"15 Patton Dr, West Caldwell New Jersey 07006-6404, United States",https://panjiva.com/Frimpeks-Inc/220435972,1932489969.0,133192327.0,,TRKU - Turkon Container Transportation & Shipping,Turkey,"New York, New York",New York Region,United States,"Aliaga, Turkey",Western Asia,Turkey,NEW YORK,MAX SCHULTE,Singapore,TRKU - Turkon Container Transportation & Shipping,AE1TK,,,63,17040.0,17.04,17.04,581000.0,,,"15102010, 20106020, 25201020","Construction Materials, Industrial Machinery, Home Furnishings",,2517.49; 9403; 8456.11,OLIGOMER; LABELSTOCK; MACHINERY,; ; ,
1,2023-03-03,,Lafarge Na,5400 West Marginal Way Southwest,Seattle,Washington,98106,United States,"5400 W Marginal Way SW, Seattle, WA 98106, USA",,,,,,,,,,https://panjiva.com/Lafarge-Na/133148007,,,,,,,,,,,,Lafarge Na,,,,,,,,,,,,,,SBBL - Salmon Bay Barge Line Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Stewart, Bc, Canada",North America,Canada,SEATTLE,LAFARGE TRADER,USA,SBBL - Salmon Bay Barge Line Inc,24442,,,1,9300010.0,9300.01,9300.01,2976000.0,,,15102010,Construction Materials,,2523.21,T90 CEMENT,,
1,2023-03-02,,Intl Materials Inc.,327 Plaza Real,Boca Raton,Florida,33432,United States,"327 Plaza Real #320, Boca Raton, FL 33432, USA",,,,+1 561 705 0350,,,,,,https://panjiva.com/Intl-Materials-Inc/31825099,,,187846217.0,,51070647.0,140.0,,1987.0,,6221,,International Materials,,,,,,,,,,,,,,LCIR - Lafarge Canada Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,M8005,CANADA,LCIR - Lafarge Canada Inc,24436,,,1,7800000.0,7800.0,7800.0,6396000.0,,,15102010,Construction Materials,,2520.10,GYPSUM,,
10099679,2023-11-25,,Ctl,14729 182nd Street,,New York,11413,United States,"14729 182nd St, Queens, NY 11413, USA",,,,,,,,,,https://panjiva.com/Ctl/137779892,,,,,,,,,,,,Ctl,,,,,,,,,,,,,,TRKU - Turkon Container Transportation & Shipping,Turkey,"New York, New York",New York Region,United States,"All Other Turkey Mediterranean Region Ports, Turkey",Western Asia,Turkey,NEW YORK,MUSTAFA DAYI,Turkey,TRKU - Turkon Container Transportation & Shipping,0US52,,,49,19500.0,19.5,19.5,312000.0,,,"15101010, 20104010, 20106010, 20106020, 25101010, 25201040, 25202010, 30201020, 30301010, 30302010","Commodity Chemicals, Electrical Components & Equipment, Construction Machinery & Heavy Trucks, Industrial Machinery, Auto Parts & Equipment, Household Appliances, Leisure Products, Distillers & Vintners, Household Products, Personal Products",,2903.69; 8509.40; 3907.40; 2204.21; 3926.90; 8501.53; 8536.90; 8473.30; 8504.40; 8536.90; 3920.61; 9202.10; 8708; 3304.99; 8607.30,UN1993 CEMENTS; COMMERCIAL BLENDERS & DISPENSERS; PLASTIC PELLETS; WINE; PUSH HANDLES MEDICAL PLASTIC; ELECTRIC MOTORS; AUTUMOTIVE CONNECTORS; CADET BLK; ADAPTER; AUTOMOTIVE CONNECTORS; PLASTIC SHEETS; MUSICAL INSTRUMENTS; AUTO PARTS; BEAUTY PRODUCT ACRYLIC; CASTING MACHINE,; ; ; ; ; ; ; ; ; ; ; ; ; ; ,
53,2023-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order,,,,,,,,,,,,,,,Canada,"MARBLEHEAD, Lakeside Marblehead, Ohio",North Central Region,United States,"Windsor, Ont, Canada",North America,Canada,MARBLEHEAD,GREAT LAKES TRADE,USA,,,,,1,30500.0,30.5,30.5,30500.0,,,15102010,Construction Materials,,2521.00,LIMESTONE,,
88,2023-11-13,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,895,,,28,39980.0,39.98,39.98,7200.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
92,2023-11-13,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,895,,,14,20570.0,20.57,20.57,3700.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
89664,2023-11-13,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,V0896,,,64,87750.0,87.75,87.75,26300.0,,,15102010,Construction Materials,,2523.21,CEMENT,,
89671,2023-11-13,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,V0896,,,28,41140.0,41.14,41.14,7400.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
PEVABH018152,2023-11-11,,Cement It,2455 E Sunrise Blvd Suite 1103,Fort Lauderdale,Florida,33304,,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",,,,,,,,,,https://panjiva.com/Cement-It/133122199,528766674.0,13021994.0,,Trading Companies and Distributors,,,,1999.0,,,,Cement It,,,,,,,"Cement It, Inc.",www.cement-it.com,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",https://panjiva.com/Cement-IT-Inc/65270314,528766674.0,13021994.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,GRAND EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,344S,,,1,115120.0,115.12,115.12,18400.0,,,15102010,Construction Materials,,2523,12 PL CEMENT BAGS 540 BAGS 12 PL CEMENT BAGS 540 BAGS 12 PL CEMENT BAGS 540 BAGS 12 PL CEMENT BAGS 540 BAGS 12 PL CEMENT BAGS 540 BAGS CEMENT IT AES ITN X20231030826452,,
PEVABH018192,2023-11-11,,Cement It,2455 E Sunrise Blvd Suite 1103,Fort Lauderdale,Florida,33304,,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",,,,,,,,,,https://panjiva.com/Cement-It/133122199,528766674.0,13021994.0,,Trading Companies and Distributors,,,,1999.0,,,,Cement It,,,,,,,"Cement It, Inc.",www.cement-it.com,"2455 E Sunrise Blvd, Suite 1103, Fort Lauderdale Florida 33304, United States",https://panjiva.com/Cement-IT-Inc/65270314,528766674.0,13021994.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,PT EVERGLADES,GRAND EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,344S,,,1,46040.0,46.04,46.04,7400.0,,,15102010,Construction Materials,,2523,12 PL CEMENT BAGS 540 BAGS 12 PL CEMENT BAGS 540 BAGS CEMENT IT INC. AES ITN X20231102054341,,
PEVNBI008048,2023-11-08,,Seacor Island Lines,1300 Eller Drive,Fort Lauderdale,Florida,33316-4216,,"1300 Eller Drive, Fort Lauderdale Florida 33316-4216, United States",,,,,,,,,,https://panjiva.com/Seacor-Island-Lines/133102386,30690158.0,7468917.0,,Marine,,150.0,,1990.0,"Manufacturer, Wholesale",,,Seacor Island Lines,,,,,,,King Ocean Services Ltd.,www.kingocean.com,"13155 NW 19th Lane, Sweetwater Florida 33182, United States",https://panjiva.com/King-Ocean-Services-Ltd/65362029,585973458.0,11260458.0,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Bimini Island, Bahamas",Caribbean,Bahamas,PT EVERGLADES,CARIBBEAN EXPRESS I,Antigua & Barbuda,SILJ - Seacor Island Lines,1945S,,,1,24230.0,24.23,24.23,3900.0,,,15102010,Construction Materials,,2523,3 PL CEMENT 135 BGS 2 BD DUROCK 10 PL CONCRETE MIX 420 BGS SHORTSHIPPED FROM BL PEVNBI008048 BAHAMAS EXPRESS 1562S,,
89488,2023-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order,,,,,,,,,,,,,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,894,,,24,33650.0,33.65,33.65,548000.0,,,20106010,Construction Machinery & Heavy Trucks,,8474.90,HARDWARE MDSE CEMENT LUMBER & STUCCO,,
89484,2023-11-06,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,894,,,14,20570.0,20.57,20.57,3700.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
89423,2023-11-06,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UASC,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,,894,,,60,82270.0,82.27,82.27,14800.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
1,2023-01-18,,Lafarge Na,5400 West Marginal Way Southwest,Seattle,Washington,98106,United States,"5400 W Marginal Way SW, Seattle, WA 98106, USA",,,,,,,,,,https://panjiva.com/Lafarge-Na/133148007,,,,,,,,,,,,Lafarge Na,,,,,,,,,,,,,,SBBL - Salmon Bay Barge Line Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,LAFARGE TRADER,USA,SBBL - Salmon Bay Barge Line Inc,24320,,,1,4500000.0,4500.0,4500.0,1125000.0,,,15102010,Construction Materials,,2523.29,SLAG CEMENT,,
2212,2023-01-17,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,,,,,,,https://panjiva.com/Trico-International/133134250,1945032877.0,135554787.0,,Distributors,,27.0,,1981.0,,,,Trico,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,DSCK - Deans Shipping Company Ltd,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Nassau, New Providence I, Bahamas",Caribbean,Bahamas,PT EVERGLADES,CHAMPION III,Panama,DSCK - Deans Shipping Company Ltd,2,,,225,684000.0,684.0,684.0,253000.0,,,15102010,Construction Materials,,2523.21,CEMENT,,
85534,2023-01-16,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UABS - United Abaco Shipping,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,UABS - United Abaco Shipping,855,,,25,93230.0,93.23,93.23,14900.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT AND SAKRETE CONCRE,,
85527,2023-01-16,,Trico International,101 N Summit St,Tenafly,New Jersey,07670-1036,,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",,,,+1 941 747 9021,,,,,,https://panjiva.com/Trico-International/7671798,1945032877.0,135554787.0,,Distributors,337107.0,27.0,,1981.0,,5032,,Trico International,,,,,,,Trico International Inc.,www.tricointernational.com,"101 N Summit St, Tenafly New Jersey 07670-1036, United States",https://panjiva.com/Trico-International-Inc/226174008,1945032877.0,135554787.0,,UABS - United Abaco Shipping,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,UABS - United Abaco Shipping,855,,,30,90690.0,90.69,90.69,14500.0,,,15102010,Construction Materials,,2523.90,PORTLAND CEMENT,,
MCB215784001,2023-01-16,,Occ Maritime As Agents For,232 Andalusia Avenue,Coral Gables,Florida,33134,United States,"232 Andalusia Ave #370, Coral Gables, FL 33134, USA",,,,,,,,,,https://panjiva.com/Occ-Maritime-As-Agents-For/133004944,,,,,,,,,Logistics,,,Occ Maritime As Agents For,,,,,,,,,,,,,,IDMC - Industrial Maritime Carriers Llc,Guyana,"Houston, Houston, Texas",Southwest Region,United States,"Georgetown, Guyana",South America,Guyana,HOUSTON,INDUSTRIAL HOBART,Antigua & Barbuda,IDMC - Industrial Maritime Carriers Llc,02915,,,1,39910.0,39.91,39.91,823000.0,,,20106020,Industrial Machinery,,8479.90,2 PIECES STC 1 TOWABLE BATCHING PLANT CONECO MODEL LOPRO 427 SERIAL NUMBER 11313L 70000 LBS 31752 KGS 1 400BBL CEMENT SILO 18000 LBS 8165 KGS BEST EQUIPMENT AND SERVICE 5.A. ORDER  220317 INVOICE 0016856 FREIGHT PREPAID ON BOARD 1172023 AES ITN X20221223868292,,
AB028HOJJ004,2023-01-14,,Wolfcamp Trucks And Eqpt,Binford Road,,Texas,77484,United States,"Binford Rd, Texas 77484, USA",,,,,,,,,,https://panjiva.com/Wolfcamp-Trucks-And-Eqpt/141031960,,,,,,,,,,,,Wolfcamp Trucks And Eqpt,,,,,,,,,,,,,,"NSAU - National Shipping Co Of Saudi Arabia, The",United Arab Emirates,"Houston, Houston, Texas",Southwest Region,United States,"Jebel Dhanna, United Arab Emirates",Western Asia,United Arab Emirates,HOUSTON,BAHRI ABHA,Saudi Arabia,"NSAU - National Shipping Co Of Saudi Arabia, The",28,,,1,24040.0,24.04,24.04,109000.0,,,20106010,Construction Machinery & Heavy Trucks,,8716.39,2013 PEERLESS TWIN CEMENTER TRAILER,,
OTUS10A,2023-01-13,,Tauber Petrochemical,,,,,,United States,,,,,,,,,,https://panjiva.com/Tauber-Petrochemical/132902063,6463172.0,8412131.0,,"Oil, Gas and Consumable Fuels",,50.0,,,,,,Tauber Petrochemical,,,,,,,"Tauber Oil Company, Inc.",tauberoil.com,"55 Waugh Drive, Suite 700, Houston Texas 77007, United States",https://panjiva.com/Tauber-Oil-Company-Inc/54255887,4161998.0,4115434.0,,OTUS - Odfjell Tankers As,India,"Houston, Houston, Texas",Southwest Region,United States,"Kandla, India",Southern Asia,India,HOUSTON,BOW TRIDENT,Norway (Nis),OTUS - Odfjell Tankers As,7,,,14842,1594000.0,1594.0,1594.0,1116000.0,,,15102010,Construction Materials,,2520.20,HEXANE INDUSTRIAL,,
OTUS10B,2023-01-13,,Tauber Petrochemical,,,,,,United States,,,,,,,,,,https://panjiva.com/Tauber-Petrochemical/132902063,6463172.0,8412131.0,,"Oil, Gas and Consumable Fuels",,50.0,,,,,,Tauber Petrochemical,,,,,,,"Tauber Oil Company, Inc.",tauberoil.com,"55 Waugh Drive, Suite 700, Houston Texas 77007, United States",https://panjiva.com/Tauber-Oil-Company-Inc/54255887,4161998.0,4115434.0,,OTUS - Odfjell Tankers As,South Africa,"Houston, Houston, Texas",Southwest Region,United States,"Durban, South Africa",Southern Africa,South Africa,HOUSTON,BOW TRIDENT,Norway (Nis),OTUS - Odfjell Tankers As,7,,,6983,750000.0,750.0,750.0,525000.0,,,15102010,Construction Materials,,2520.20,HEXANE INDUSTRIAL,,
PEVFPT023883,2023-01-12,,American Telehandler,801 Riley Lane,St. Augustine,Florida,32095,United States,"801 Riley Ln, St. Augustine, FL 32095, USA",,,,,,,,,,https://panjiva.com/American-Telehandler/133081359,,,,,,,,,,,,American Telehandler,,,,,,,,,,,,,,SILJ - Seacor Island Lines,Bahamas,"Port Of Entry-Port Everglades/Fort Lauderdale, Port Everglades, Florida",Southeast Region,United States,"Freeport, Grand Bahama I, Bahamas",Caribbean,Bahamas,PT EVERGLADES,EMERALD EXPRESS,Antigua & Barbuda,SILJ - Seacor Island Lines,1647S,,,1,5440.0,5.44,5.44,1100.0,,,15102010,Construction Materials,,2523,1 UN JCB509422015GREEN AMERICAN TELEHANDLER LLC BILL OF SALE ATTACHED ITN X20230106404569 SHIPPED AT CONSIGNEE RISK,,
1,2023-01-11,,Lafarge Na,5400 West Marginal Way Southwest,Seattle,Washington,98106,United States,"5400 W Marginal Way SW, Seattle, WA 98106, USA",,,,,,,,,,https://panjiva.com/Lafarge-Na/133148007,,,,,,,,,,,,Lafarge Na,,,,,,,,,,,,,,SBBL - Salmon Bay Barge Line Inc,Canada,"Port of Seattle, Seattle, Washington",Pacific Region,United States,"Vancouver, BC, Canada",North America,Canada,SEATTLE,LAFARGE EAGLE,USA,SBBL - Salmon Bay Barge Line Inc,24304,,,1,4500000.0,4500.0,4500.0,1125000.0,,,15102010,Construction Materials,,2523.29,SLAG CEMENT,,
85212,2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order,,,,,,,,,,,,,,UABS - United Abaco Shipping,Bahamas,"Port Of Entry-West Palm Beach, West Palm Beach, Florida",Southeast Region,United States,"Coco Cay, Bahamas",Caribbean,Bahamas,W PALM BCH,DUKE OF TOPSAIL,St Kitts & Nevis,UABS - United Abaco Shipping,852,,,19,21580.0,21.58,21.58,45100.0,,,15102010,Construction Materials,,6810.99,SHINGLES CEMENT B PLWOOD BUILDING M,,
12023,2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Order,,,,,,,,,,,,,,IDKT - Inland Lakes Transportation,Canada,"Sault Ste. Marie, Sault Ste Marie, Michigan",North Central Region,United States,"Whitefish River, Ont, Canada",North America,Canada,SAULT ST MARI,ALPENA,USA,IDKT - Inland Lakes Transportation,V0,,,1,8000000.0,8000.0,8000.0,12960000.0,,,15102010,Construction Materials,,6810,CEMENT PRODUCTS,,
