Entity_ID,Canonical_Name,Entity_Type,Parent_Company,Match_Keywords,Match_Strategy,Category,Active,Notes,Estimated_Tons,Master_Party_ID,ISO_Country,Latitude,Longitude,Facility_Type
CMT-0062,Lafarge Canada Incorporated,Company,Holcim,LAFARGE CANADA INCORPORATED,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.44,,Ca,,,Cement
CMT-0168,Hercules General Cement Company,Company,Holcim,HERCULES GENERAL CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.05,,Gr,,,Cement
CMT-0237,Holcim Lorain Ohio,Company,Holcim,HOLCIM LORAIN OHIO,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.02,,US,,,Cement
CMT-0041,Lafarge Ciment Msla Sp A B O,Company,Holcim,LAFARGE CIMENT MSLA SP,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.739,,Co,,,Cement
CMT-0128,Lafarge Oswego,Company,Holcim,LAFARGE OSWEGO,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.094,,US,,,Cement
CMT-0063,Heracles General Cement Company,Company,Holcim,HERACLES GENERAL CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.432,,Gr,,,Cement
CMT-0118,Lafarge Ciment Oggaz Sp A,Company,Holcim,LAFARGE CIMENT OGGAZ SP,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.118,,Al,,,Cement
CMT-0106,Lafarge Cleveland Terminal,Company,Holcim,LAFARGE CLEVELAND TERMINAL,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.147,,US,,,Cement
CMT-0154,Amrize Cement Cleveland Terminal,Company,Holcim,AMRIZE CEMENT CLEVELAND TERMINAL,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.06,,US,,,Cement
CMT-0080,Lafarge Bath Plant,Company,Holcim,LAFARGE BATH PLANT,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.253,,Ca,,,Cement
CMT-0152,Amrize Cement Incorporatedorporated Buffalo,Company,Holcim,AMRIZE CEMENT INCORPORATEDORPORATED BUFFALO,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.063,,US,,,Cement
CMT-0112,Amrize Cement Pnw Incorporatedorporated,Company,Holcim,AMRIZE CEMENT PNW INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.131,,US,,,Cement
CMT-0086,Lafarge Pnw Incorporatedorporated,Company,Holcim,LAFARGE PNW INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.225,,US,,,Cement
CMT-0090,Amrize Canada Incorporated Bath Plant,Company,Holcim,AMRIZE CANADA INCORPORATED BATH,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.204,,Ca,,,Cement
CMT-0111,Lafarge Seattle Plant,Company,Holcim,LAFARGE SEATTLE PLANT,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.132,,US,,,Cement
CMT-0110,Lafarge Cleveland,Company,Holcim,LAFARGE CLEVELAND,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.138,,US,,,Cement
CMT-0109,Amrize Canada Incorporated,Company,Holcim,AMRIZE CANADA INCORPORATED,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.14,,Ca,,,Cement
CMT-0220,Amrize Cement Incorporatedorporated Detroit,Company,Holcim,AMRIZE CEMENT INCORPORATEDORPORATED DETROIT,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.028,,US,,,Cement
CMT-0105,Amrize Cement Incorporatedorporated,Company,Holcim,AMRIZE CEMENT INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.149,,US,,,Cement
CMT-0161,Heracles General Cement Company D. Solomou 32 For Acct Holcim Trd.,Company,Holcim,HERACLES GENERAL CEMENT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.055,,Gr,,,Cement
CMT-0071,2 Ho3 Lafarge Canada Incorporated Richmond P,Company,Holcim,2 HO3 LAFARGE CANADA,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.341,,Ca,,,Cement
CMT-0131,Lafarge Buffalo,Company,Holcim,LAFARGE BUFFALO,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.092,,US,,,Cement
CMT-0188,Lafarge Ciment Oggaz Lco,Company,Holcim,LAFARGE CIMENT OGGAZ LCO,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.043,,Al,,,Cement
LAFARGE-001,Lafarge North America,Cement/Aggregates,Holcim,LAFARGE;LAFARGE NORTH AMERICA,Contains,All,True,Major cement/aggregates producer - now part of Holcim,2647299,CMT-XX-LAFARGENORTHAME-HQ,XX,,,Headquarters
CMT-0015,Lafrage Emirates Cement Llc,Company,Holcim,LAFRAGE EMIRATES CEMENT LLC,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,2.178,,Un,,,Cement
CMT-0246,La Farge Canada Incorporated,Company,Holcim,LA FARGE CANADA INCORPORATED,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.012,,Ca,,,Cement
CMT-0245,Holcim (Us) Incorporatedorporated,Company,Holcim,HOLCIM (US) INCORPORATEDORPORATED;HOLCIM US INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.012,,US,,,Cement
CMT-0244,Holcim Us Incorporatedorporated Providence,Company,Holcim,HOLCIM US INCORPORATEDORPORATED PROVIDENCE,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.013,,US,,,Cement
LAFARGE-EMIRATES-001,Lafarge Emirates Cement,Cement,Holcim,LAFARGE EMIRATES;LAFRAGE EMIRATES;LAFARGE EMIRATES CEMENT,Contains,Shipper,True,Lafarge UAE operations - now Holcim,1263341,CMT-XX-LAFARGEEMIRATES-HQ,XX,,,Headquarters
CMT-0255,Amrize Globalplex Terminal,Company,Holcim,AMRIZE GLOBALPLEX TERMINAL,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.008,,US,,,Cement
CMT-0179,Lafarge Emirates Cement Llc,Company,Holcim,LAFARGE EMIRATES CEMENT LLC,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.045,,Un,,,Cement
CMT-0256,Lafarge Detroit Terminal,Company,Holcim,LAFARGE DETROIT TERMINAL,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.008,,US,,,Cement
CMT-0257,Lafarge Canada Inv,Company,Holcim,LAFARGE CANADA INV,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.007,,Ca,,,Cement
CMT-0241,Lafarge Companyrporationoration,Company,Holcim,LAFARGE COMPANYRPORATIONORATION,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.016,,US,,,Cement
CMT-0259,La Farge Cleveland,Company,Holcim,LA FARGE CLEVELAND,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.007,,US,,,Cement
CMT-0036,Lafarge Ciment Msila Sp A,Company,Holcim,LAFARGE CIMENT MSILA SP,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.871,,Al,,,Cement
CMT-0264,Lafarge Clevekand,Company,Holcim,LAFARGE CLEVEKAND,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.005,,US,,,Cement
CMT-0200,Holcim Us Incorporatedorporated,Company,Holcim,HOLCIM US INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.035,,US,,,Cement
CMT-0032,Holcim ( Us ) Incorporatedorporated,Company,Holcim,HOLCIM ( US );HOLCIM US INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,1.114,,US,,,Cement
CMT-0263,Lafarge Oswego Terminal,Company,Holcim,LAFARGE OSWEGO TERMINAL,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.006,,US,,,Cement
CMT-0270,Lafarge Buffalo Terminal,Company,Holcim,LAFARGE BUFFALO TERMINAL,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.002,,US,,,Cement
CMT-0269,Amrize Cement Toledo Terminal,Company,Holcim,AMRIZE CEMENT TOLEDO TERMINAL,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.002,,US,,,Cement
CMT-0006,Hollingshead Cement LLC,Company,Hollingshead Cement LLC,HOLLINGSHEAD CEMENT LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,3.752,,US,,,Cement
HUNT-CRUDE-001,Hunt Crude Oil Supply,Oil & Gas,Hunt Consolidated,HUNT CRUDE OIL SUPPLY,Contains,Consignee,True,Hunt family crude oil trading arm,1878318,PET-XX-HUNTCRUDEOILSUP-HQ,XX,,,Headquarters
HYUNDAI-MOTOR-001,Hyundai Motor America,Automotive,Hyundai Motor Group,HYUNDAI MOTOR AMERICA,Contains,All,True,Korean automaker US operations - distinct from Kia,1915205,AUT-XX-HYUNDAIMOTORAME-HQ,XX,,,Headquarters
KIA-001,Kia Motors America,Automotive,Hyundai Motor Group,KIA MOTORS;KIA MOTORS AMERICA,Contains_All,All,True,Korean automaker - use Contains_All to avoid matching KIA alone,763376,AUT-XX-KIAMOTORSAMERIC-HQ,XX,,,Headquarters
HYUNDAI-STEEL-001,Hyundai Steel,Steel,Hyundai Motor Group,HYUNDAI STEEL,Contains_All,All,True,Korean steel producer - Hyundai affiliate,653333,STL-XX-HYUNDAISTEEL-HQ,XX,,,Headquarters
HYUNDAI-MOBIS-001,Hyundai Mobis,Automotive,Hyundai Motor Group,HYUNDAI MOBIS,Contains_All,Shipper,True,Hyundai auto parts supplier,1155437,AUT-XX-HYUNDAIMOBIS-HQ,XX,,,Headquarters
ING-001,ING Bank,Finance,ING Group,ING BANK,Contains_All,Consignee,True,Dutch bank - commodity financing,978278,FIN-XX-INGBANK-HQ,XX,,,Headquarters
IDEMITSU-001,Idemitsu Apollo,Oil Refining,Idemitsu Kosan,IDEMITSU APOLLO,Contains,All,True,Japanese refiner US operations,3200000,PET-XX-IDEMITSUAPOLLO-HQ,XX,,,Headquarters
CMT-0240,Imersys Norfolk Incorporatedorporated,Company,Imersys,IMERSYS NORFOLK INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.017,,US,,,Cement
CMT-0232,Intercoast Materials LLC,Company,Intercoast Materials LLC,INTERCOAST MATERIALS LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.024,,US,,,Cement
CMT-0175,To Orderi Nternational Materials,Company,International Materials,TO ORDERI NTERNATIONAL MATERIALS,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.047,,US,,,Cement
CMT-0122,Intl Materials. Incorporatedorporated,Company,International Materials,INTL MATERIALS INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.11,,US,,,Cement
CMT-0173,Internationa Materials LLC,Company,International Materials,INTERNATIONA MATERIALS LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.049,,US,,,Cement
CMT-0158,Intl Materials LLC,Company,International Materials,INTL MATERIALS LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.055,,US,,,Cement
CMT-0149,Intl Mater,Company,International Materials,INTL MATER,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.065,,US,,,Cement
INTERPIPE-001,Interpipe,Steel Pipes,Interpipe,INTERPIPE,Contains,All,True,Ukrainian steel pipe manufacturer,3300000,STL-XX-INTERPIPE-HQ,XX,,,Headquarters
SOMO-001,State Oil Marketing Company (SOMO),Oil Marketing,Iraqi Government,SOMO;STATE OIL MARKETING;STATE OIL MARKETING COMPANY,Contains,All,True,Iraqi state oil marketer,13000000,OTH-XX-STATEOILMARKETI-HQ,XX,,,Headquarters
IRVING-001,Irving Oil,Oil Refining,Irving Oil,IRVING OIL,Contains,All,True,Canadian refiner - Irving Oil Ltd/Refining/Terminals,40000000,PET-XX-IRVINGOIL-HQ,XX,,,Headquarters
MORTON-BAHAMAS-001,Morton Bahamas,Salt,K+S Group,MORTON BAHAMAS,Contains_All,Shipper,True,Morton Salt Bahamas operations,1173631,MIN-BS-MORTONBAHAMAS-HQ,XX,,,Headquarters
MORTON-001,Morton Salt,Salt,K+S Group,MORTON SALT,Contains,All,True,Major US salt producer,3000000,MIN-XX-MORTONSALT-HQ,XX,,,Headquarters
CMT-0162,Kerneos Incorporatedorporated,Company,Kerneos,KERNEOS INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.054,,US,,,Cement
CMT-0056,Lhp Vietnam Technology Investment,Company,LHP VIETNAM TECHNOLOGY INVESTMENT,LHP VIETNAM TECHNOLOGY INVESTMENT,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.533,,Vi,,,Cement
CMT-0155,Lhp Vietnam Technology Invesment,Company,LHP VIETNAM TECHNOLOGY INVESTMENT,LHP VIETNAM TECHNOLOGY INVESMENT,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.059,,Vi,,,Cement
NATIONAL-OIL-LIBYA-001,National Oil Corp,Oil & Gas,Libyan Government,NATIONAL OIL CORP,Contains,Shipper,True,Libyan state oil company,1045725,PET-XX-NATIONALOIL-HQ,XX,,,Headquarters
CMT-0104,Lone Star Industries Incorporatedorporated,Company,Lone Star Industries,LONE STAR INDUSTRIES INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.15,,US,,,Cement
CMT-0217,Long Son Companymplany Limited,Company,Long Son,LONG SON COMPANYMPLANY LIMITED,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.028,,Vi,,,Cement
CMT-0100,Long Son Company Limited Thanh Hoa Branch,Company,Long Son,LONG SON COMPANY LIMITED,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.159,,Vi,,,Cement
CMT-0177,Long Son Expert Company Limited,Company,Long Son,LONG SON EXPERT COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.046,,Vi,,,Cement
CMT-0166,Cty Tnhh Companyng Nghiep Long Son Dong Global Transit,Company,Long Son,CTY TNHH COMPANYNG NGHIEP,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.05,,Vi,,,Cement
CMT-0061,Long Son Industrials Company Limited,Company,Long Son,LONG SON INDUSTRIALS COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.453,,Vi,,,Cement
CMT-0038,Long Son Exp. Company Limited,Company,Long Son,LONG SON EXP COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.81,,Vi,,,Cement
CMT-0051,Long Son Company Limited,Company,Long Son,LONG SON COMPANY LIMITED,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.577,,Vi,,,Cement
CMT-0069,Cty Tnhh Companyng Nghiep Long Son,Company,Long Son,CTY TNHH COMPANYNG NGHIEP,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.357,,Vi,,,Cement
CMT-0117,Lucky Cement Limited Vdr,Company,Lucky Cement,LUCKY CEMENT LIMITED VDR,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.12,,Pa,,,Cement
MARATHON-INTL-001,Marathon International Products,Oil/Gas,Marathon Petroleum,MARATHON INTERNATIONAL PRODUCT;MARATHON INTERNATIONAL PRODUCTS,Contains,All,True,Marathon trading arm - distinct from Marathon Petroleum refining,1323629,PET-XX-MARATHONINTERNA-HQ,XX,,,Headquarters
MARATHON-001,Marathon Petroleum,Oil Refining,Marathon Petroleum Corporation,MARATHON PETROLEUM;MARATHON CARSON,Contains,All,True,US refiner - includes Carson refinery,19000000,PET-XX-MARATHONPETROLE-HQ,XX,,,Headquarters
CMT-0204,Martin Marietta Stockton LLC,Company,Martin Marietta,MARTIN MARIETTA STOCKTON LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.034,,US,,,Cement
MARTIN-001,Martin Marietta,Construction Materials,Martin Marietta,MARTIN MARIETTA,Contains_All,All,True,Requires BOTH tokens - not Martin Gas or Martin Wine,13000000,AGG-XX-MARTINMARIETTA-HQ,XX,,,Headquarters
MAZDA-001,Mazda Motor,Automotive,Mazda Motor Corporation,MAZDA MOTOR,Contains,All,True,Japanese automaker,1153386,AUT-XX-MAZDAMOTOR-HQ,XX,,,Headquarters
CMT-0012,Mcinnis Usa Incorporatedorporated,Company,McInnis Cement,MCINNIS USA INCORPORATEDORPORATED,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,2.58,,US,,,Cement
CMT-0001,Medcem Global Pazarlama A.S.,Company,Medcem,MEDCEM GLOBAL PAZARLAMA AS,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,5.084,,Tu,,,Cement
CMT-0186,Medical Global Pazarlama As,Company,Medcem,MEDICAL GLOBAL PAZARLAMA AS,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.044,,Tu,,,Cement
CMT-0091,Medcem Global Pazarlama As,Company,Medcem,MEDCEM GLOBAL PAZARLAMA AS,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.182,,Tu,,,Cement
CMT-0181,Modchem Global Pazarlama As,Company,Medcem,MODCHEM GLOBAL PAZARLAMA AS,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.044,,Tu,,,Cement
CMT-0180,Medcem Global Pazarlama As Ataturk Tetradeland Companymodities Slu Calle,Company,Medcem,MEDCEM GLOBAL PAZARLAMA AS,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.044,,Tu,,,Cement
CMT-0189,Medcem Global Pazarlama A S,Company,Medcem,MEDCEM GLOBAL PAZARLAMA A,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.042,,Tu,,,Cement
MEDCEM-001,Medcem Global,Cement,Medcem,MEDCEM;MEDCEM GLOBAL,Contains,All,True,Turkish cement producer,3100000,CMT-XX-MEDCEMGLOBAL-HQ,XX,,,Headquarters
MERCEDES-001,Mercedes-Benz USA,Automotive,Mercedes-Benz Group,MERCEDES BENZ;MERCEDES-BENZ;MERCEDESBENZ USA,Contains,All,True,German automaker US operations,951053,AUT-US-MERCEDESBENZUSA-HQ,XX,,,Headquarters
CMT-0108,Mitsubishi Cement Companyrporationoration,Company,Mitsubishi Cement,MITSUBISHI CEMENT COMPANYRPORATIONORATION,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.145,,US,,,Cement
MITSUI-USA-001,Mitsui & Co USA,Trading Company,Mitsui & Co,MITSUI & CO USA;MITSUI AND CO USA;MITSUI CO USA,Contains,All,True,Japanese trading house - US operations,2217247,TRD-US-MITSUIUSA-HQ,XX,,,Headquarters
CMT-0130,Nam Phuong Imex Imp. & Exp. . J,Company,NAM PHUONG IMEX,NAM PHUONG IMEX IMP,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.092,,Vi,,,Cement
CMT-0234,The National Companypmany For Cement In Beni Suef,Company,NATIONAL COMPANY FOR CEMENT,THE NATIONAL COMPANYPMANY FOR,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.022,,Eg,,,Cement
CMT-0239,National Company For Cement,Company,NATIONAL COMPANY FOR CEMENT,NATIONAL COMPANY FOR CEMENT,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.019,,Eg,,,Cement
NATURGY-001,Naturgy Aprovisionamientos,Utility,Naturgy Energy Group,NATURGY APROVISIONAMIENTOS,Contains_All,Consignee,True,Spanish energy company - supply operations,1789162,PWR-XX-NATURGYAPROVISI-HQ,XX,,,Headquarters
NESTE-001,Neste,Oil Refining,Neste Oyj,NESTE OIL;NESTE US,Contains,All,True,Finnish refiner - renewable diesel focus,2264650,PET-XX-NESTE-HQ,XX,,,Headquarters
CMT-0199,Nevada Cement,Company,Nevada Cement,NEVADA CEMENT,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.035,,US,,,Cement
CMT-0157,Nevada Cement Companymplany LLC,Company,Nevada Cement,NEVADA CEMENT COMPANYMPLANY LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.056,,US,,,Cement
CMT-0047,Nevada Cement Companympany,Company,Nevada Cement,NEVADA CEMENT COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.68,,US,,,Cement
NIPPON-STEEL-TRADING-001,Nippon Steel Trading,Steel,Nippon Steel Corporation,NIPPON STEEL TRADING,Contains,Shipper,True,Nippon Steel trading arm,1550471,STL-XX-NIPPONSTEELTRAD-HQ,XX,,,Headquarters
CMT-0137,Nouma Trading S.A.,Company,Nouma Trading S.A.,NOUMA TRADING SA,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.084,,US,,,Cement
DAVID-JOSEPH-001,David J. Joseph Company,Steel,Nucor,DAVID J. JOSEPH;DAVID J JOSEPH;DAVID J JOSEPH COMPANY,Contains,Consignee,True,Scrap metal processor - Nucor subsidiary,1682715,STL-XX-DAVIDJJOSEPHCOM-HQ,XX,,,Headquarters
NUCOR-001,Nucor Steel,Steel,Nucor Corporation,NUCOR STEEL,Contains,All,True,Largest US steel producer,2100000,STL-XX-NUCORSTEEL-HQ,XX,,,Headquarters
CMT-0009,Nuh Cimento Sanayi A.S.,Company,Nuh Cimento,NUH CIMENTO SANAYI AS,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,3.155,,Tu,,,Cement
NUH-CIMENTO-001,Nuh Cimento,Cement,Nuh Cimento,NUH CIMENTO,Contains_All,Shipper,True,Turkish cement producer,2561518,CMT-XX-NUHCIMENTO-HQ,XX,,,Headquarters
CMT-0160,Nuh Cimento Sanayi A.S.Haci Akif,Company,Nuh Cimento,NUH CIMENTO SANAYI ASHACI,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.055,,Tu,,,Cement
CMT-0031,Nuh Cimento Sanayi Anonim Sirketi,Company,Nuh Cimento,NUH CIMENTO SANAYI ANONIM,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,1.126,,Tu,,,Cement
CMT-0119,Omanco Material Vietnam Company Limited,Company,OMANCO,OMANCO MATERIAL VIETNAM COMPANY,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.116,,Vi,,,Cement
CMT-0140,Omanco Material V.N.B O Holcim,Company,OMANCO,OMANCO MATERIAL VNB O,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.082,,Vi,,,Cement
OQ-TRADING-001,OQ Trading,Oil/Gas,OQ (Oman Oil),OQ TRADING,Contains_All,All,True,Omani state oil company trading arm,645850,PET-XX-OQTRADING-HQ,XX,,,Headquarters
CMT-0050,Oyak Cimento Fabrikalari Anonim Sir,Company,OYAK Group,OYAK CIMENTO FABRIKALARI ANONIM,Contains,Shipper,TRUE,Added from cement party dictionary v1.0.0,0.589,,Tu,,,Cement
CMT-0092,On Site Companyncrete Solutions,Company,On Site Company,ON SITE COMPANYNCRETE SOLUTIONS,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.18,,US,,,Cement
CMT-0163,Ozinga International LLC,Company,Ozinga International LLC,OZINGA INTERNATIONAL LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.052,,US,,,Cement
CMT-0205,Hij Internationl Trading Companympany LLC,Company,Ozinga International LLC,HIJ INTERNATIONL TRADING COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.033,,US,,,Cement
CMT-0132,Hlj International Trading Companympany L,Company,Ozinga International LLC,HLJ INTERNATIONAL TRADING COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.092,,US,,,Cement
CMT-0026,Hlj International Trading Companympany,Company,Ozinga International LLC,HLJ INTERNATIONAL TRADING COMPANYMPANY,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,1.353,,US,,,Cement
DELAWARE-CITY-001,Delaware City Refining,Oil Refining,PBF Energy,DELAWARE CITY REFINING,Contains,All,True,PBF subsidiary - Delaware City refinery,1400000,PET-XX-DELAWARECITYREF-HQ,XX,,,Headquarters
PBF-001,PBF Energy,Oil Refining,PBF Energy,PBF HOLDING;PBF ENERGY,Contains,All,True,US independent refiner,26000000,PET-XX-PBFENERGY-HQ,XX,,,Headquarters
PAULSBORO-001,Paulsboro Refining,Oil Refining,PBF Energy,PAULSBORO REFINING,Contains,All,True,PBF subsidiary - Paulsboro NJ refinery,2400000,PET-XX-PAULSBOROREFINI-HQ,XX,,,Headquarters
CITGO-001,Citgo,Oil Refining,PDVSA (Venezuelan state),CITGO,Contains,All,True,US refiner owned by Venezuela,5000000,PET-XX-CITGO-HQ,XX,,,Headquarters
PETROPIAR-001,Petropiar,Oil & Gas,PDVSA/Chevron JV,PETROPIAR,Contains,All,True,Venezuela heavy oil JV - multiple address variants,6000000,PET-XX-PETROPIAR-HQ,XX,,,Headquarters
POSCO-001,POSCO,Steel,POSCO Holdings,POSCO,Contains,All,True,Korean steel giant - includes POSCO Mexico,2209492,STL-XX-POSCO-HQ,XX,,,Headquarters
PREPA-001,Puerto Rico Electric Power Authority,Utility,PR Government,PUERTO RICO ELECTRIC POWER AUTHORIT;PREPA,Contains,Consignee,True,Puerto Rico power utility,1349536,PWR-PR-PUERTORICOELECT-HQ,XX,,,Headquarters
PAR-HAWAII-001,PAR Hawaii Refining,Oil Refining,Par Pacific,PAR HAWAII;PAR HAWAII REFINING,Contains,All,True,Hawaii refinery,3400000,PET-XX-PARHAWAIIREFINI-HQ,XX,,,Headquarters
PETROCHINA-001,PetroChina International,Oil/Gas,PetroChina,PETROCHINA;PETROCHINA INTERNATIONAL,Contains,All,True,Chinese state oil company - combines all PetroChina entities,1969588,PET-CN-PETROCHINAINTER-HQ,XX,,,Headquarters
PETROBRAS-001,Petrobras,Oil & Gas,Petroleo Brasileiro,PETROBRAS;PETROLEO BRASILEIRO,Contains,All,True,Brazilian state oil company,4000000,PET-XX-PETROBRAS-HQ,XX,,,Headquarters
PMI-001,PMI Trading,Trading Company,Philip Morris International,PMI TRADING;PMI TRAD;PMI COME;PMI NORTEAMERICA,Contains,All,True,Tobacco products trading - multiple legal entities including PMI Norteamerica,47000000,TRD-XX-PMITRADING-HQ,XX,,,Headquarters
CMT-0088,Quikrete Companynstruction Materials LLC,Company,Quikrete Companynstruction Materials LLC,QUIKRETE COMPANYNSTRUCTION MATERIALS LLC,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,0.217,,US,,,Cement
RIL-USA-001,RIL USA Inc,Corporate,Reliance Industries,RIL USA;RIL USA INC,Contains_All,Consignee,True,Reliance Industries Limited US subsidiary - chemicals/petrochemicals,1805557,CRP-US-RILUSA-HQ,XX,,,Headquarters
RELIANCE-001,Reliance Industries,Chemicals/Refining,Reliance Industries,RELIANCE INDUSTRIES,Contains,All,True,Indian conglomerate - petrochemicals,3200000,OTH-XX-RELIANCEINDUSTR-HQ,XX,,,Headquarters
REPSOL-001,Repsol Trading,Oil/Gas,Repsol,REPSOL TRADING,Contains,All,True,Spanish oil major trading arm,660248,PET-XX-REPSOLTRADING-HQ,XX,,,Headquarters
IRON-ORE-001,Iron Ore Company of Canada,Mining,Rio Tinto,IRON ORE CO;IRON ORE COMPANY;IRON ORE COMPANY OF,Contains,All,True,Rio Tinto subsidiary - iron ore Quebec,2200000,MIN-CA-IRONORECOMPANYO-HQ,XX,,,Headquarters
CMT-0027,Riverside Companynstruction Materials,Company,Riverside,RIVERSIDE COMPANYNSTRUCTION MATERIALS,Contains,Consignee,TRUE,Added from cement party dictionary v1.0.0,1.277,,US,,,Cement
