bill of lading number,bill of lading type,arrival date,consignee (original format),shipper (original format),shipper (roll),consignee (roll),carrier,notify party,shipment origin,shipment destination,shipment destination region,shipment destination region roll,port of unlading roll up,port of unlading region,port of lading,port of lading country,place of receipt,vessel,vessel voyage id,vessel imo,quantity,measurement, weight (t) ,weight (original format),value of goods (usd),industry - gics,hs code,goods shipped,group,category,cargo,cargo detail,shipper unified,consignee unified,notify unified,report 1,report 2,report 3,report 4,report 5,report 6,filter,count
WGBG619306HRSV01,Simple,11/1/2023,"YARA NORTH AMERICA INC
100 N.TAMPA STREET, SUITE 3200
TAMPA, FL 33602","YARA PORSGRUNN
Heroya Industripark
Porsgrunn
N 3908
Norway",YARA ,YARA,WGBG - Wagenborg Shipping B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,HEROYA,ALASKABORG,306,9466374,1 BLK, ,1.71,1710 KG,2600,15101030,Classified: 3105.20,ANNONIUM NITRATE BASED FERTILIZER IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWMIN5832A,Simple,9/30/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET   SUITE 3200 TAMPA  FL
33602   USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3905
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,STAR MINERVA,2305,9355513,1 UNT, ,4501,4501000 K,17986000,15101010,Classified: 3811.21,FERTILIZER Description: 1 BULK CALCIUM NITRATE STG IN BULK CLEAN ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWMIN5829A,Simple,9/30/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET   SUITE 3200 TAMPA  FL
33602   USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3905
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,STAR MINERVA,2305,9355513,1 UNT, ,2700,2700000 K,4101000,15101030,Classified: 3105.20,NPK Description: 1 BULK AMMONIUM NIRTRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER 15-15-15S IN BULK CLEAN ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSWMIN5834A,Simple,9/30/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET   SUITE 3200 TAMPA  FL
33602   USA","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD A RNES
VEIEN 3 GLOMFJORD NORWAY   47 75 71
91 00",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,STAR MINERVA,2305,9355513,1083 BAG, ,1302.2,1302199 K,138000,15101030,Parsed: 3102.60,CALCIUM NITRATE Description: 1083 CALCIUM NITRATE SOLUTION QUALITY 1 200 KG BAGS PRODUCT CODE PA34IP1200. LOADED CLEAN ON BOARD 31. 07. 23 Marks:. HS 310260,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWPPE7343A,Simple,9/24/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 NORTH
TAMPA STREET SUITE 3200  P.O. BOX 2
4926 TAMPA  FLORIDA 36602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-9305
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"All Other Norway Ports, Norway",Norway,NOHRY,POLAND PEARL,2301,9731236,1 UNT, ,6006,6006000 K,631000,15101030,Classified: 3102.60,CALCIUM NITRATE Description: 1 PARCEL CALCINIT STG IN BULK Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWPPE7342A,Simple,9/24/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 NORTH
TAMPA STREET SUITE 3200  P.O. BOX 2
4926 TAMPA  FLORIDA 36602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-9305
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"All Other Norway Ports, Norway",Norway,NOHRY,POLAND PEARL,2301,9731236,250 BAG, ,300.6,300600 K,31600,15101030,Classified: 3102.60,FERTILIZER IN BIG BAGS Description: 250 CALCINIT IN 1200KG BIG BAGS Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWPPE7341A,Simple,9/22/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 NORTH
TAMPA STREET SUITE 3200  P.O. BOX 2
4926 TAMPA  FLORIDA 36602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-9305
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,NOHRY,POLAND PEARL,2301,9731236,1 UNT, ,3000,3000000 K,315000,15101030,Classified: 3102.60,CALCIUM NITRATE Description: 1 PARCEL CALCINIT STG IN BULK Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWPPE7340A,Simple,9/22/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 NORTH
TAMPA STREET SUITE 3200  P.O. BOX 2
4926 TAMPA  FLORIDA 36602 USA","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-9305
PORSGRUNN NORWAY",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"All Other Norway Ports, Norway",Norway,NOHRY,POLAND PEARL,2301,9731236,584 BAG, ,702.2,702202 K,73700,15101030,Classified: 3102.60,FERTILIZER IN BIG BAGS Description: 584 CALCINIT IN 1200KG BIG BAGS Marks: NO MARKS,Bulk,Fertilizer,"Misc, Complex Fertilizers",Misc Specialty Fertilizers,",",",",",",,,,,,,,1
GSSWQTZ4101A,Simple,7/2/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET   SUITE 3200 TAMPA  FL
33602   USA","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD A RNES
VEIEN 3 GLOMFJORD NORWAY   47 75 71
91 00",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,QUETZAL ARROW,2303,9007544,1667 BAG, ,2004,2004000 K,220000,15101030,Parsed: 3102.60,CALCIUM NITRATE Description: 1667 CALCIUM NITRATE SOLUTION QUALITY 1 200 KG BAGS PRODUCT CODE PA34IP1200. LOADED CLEAN ON BOARD 27/05/2023 Marks:. HS 310260,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
GSSWQTZ4100A,Simple,7/2/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET   SUITE 3200 TAMPA  FL
33602   USA","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD A RNES
VEIEN 3 GLOMFJORD NORWAY   47 75 71
91 00",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,QUETZAL ARROW,2303,9007544,1 UNT, ,2000,2000000 K,220000,15101030,Parsed: 3102.60,FERTILIZER Description: 1 BULK AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER 21-7-14S IN BULK CLEAN ON BOARD Marks:. HS 310260,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFFVSGKKJA305001,Simple,6/5/2023,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,SPIEGELGRACHT,2305,9197911,2639 PKG, ,3166.8,3166800 K,1678000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 17-07-14 IN 2750 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFFVSFZZSA304001,Simple,5/7/2023,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"Rauma, Finland",Finland,FIRAU,SUOMIGRACHT,2304,9288057,2690 PKG, ,3228,3228000 K,1404000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 22-7-10 IN 2750 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
CINT3709MORSLU01,Simple,5/2/2023,"TO ORDER OF YARA NORTH AMERICA INC
100 NORTH TAMPA STREET
SUITE 3200 P.O. BOX 24926
TAMPA, FL 33602","YARA SLUISKIL BV
INDUSTRIEWEG 10
HAVEN 2111 4541 HJ SLUISKIL
THE NETHERLANDS  NL0060 06802B01",YARA ,YARA,CINT - Cargill International S A,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Netherlands,"Port of New Orleans, New Orleans, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"Sluiskil, Netherlands",Netherlands,`NETHERLANDS,BERNIS,4,,1 BLK, ,19800,19800 ET,45283000,15101030,Classified: 3105.90,"19, 800 MT FERTILIZERS WITHOUT NITRATES AMIDAS IN BULK",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFFVSNUKBA303022,Simple,4/26/2023,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,SNOEKGRACHT,2303,9202546,2853 PKG, ,3423.6,3423600 K,1883000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 19-6-12 IN 2853 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
SFFVSCQYJA302001,Simple,2/16/2023,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,SCHELDEGRACHT,2302,9202510,2620 PKG, ,3144,3144000 K,2201000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 21-07-14G IN 2750 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSW22BGN2081A,Simple,2/11/2023,"YARA NORTH AMERICA INC.
YARA NORTH AMERICA INC. 100 NORTH T
AMPA STREET  SUITE 3200 TAMPA FL 33
602 US
TAMPA FL33602 US","YARA NORGE AS
YARA NORGE AS YARA PORSGRUNN N-3095
PORSGRUNN PORSGRUNN  NO
PORSGRUNN NO",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"All Other Norway Ports, Norway",Norway,NOHRY,SAGA SPRAY,0122,9014078,1 UNT, ,5602,5602000 K,4089000,15101030,Classified: 3105.20,NPK Description: 1 BULK AMMONIUM NITRATE BASED FERTILIZER (NON-H COMPLEX FERTILIZER 15-15-15S IN BULK CLEAN ON BOARD Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSW22BGN2080A,Simple,2/11/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA","YARA SLUISKIL BV
YARA SLUISKIL BV INDUSTRIEWEG 10 45
41 HJ SLUISKIL THE NETHERLANDS CONT
ACT  BENNO SLOCK",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Netherlands,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,SAGA SPRAY,0122,9014078,1 UNT, ,5000,5000000 K,8200000,15101030,Classified: 3105.20,CALCIUM NITRATE Description: 1 BULK AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARD CAN 27 PA263X000 Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
GSSW22BGN2082A,Simple,2/11/2023,"YARA NORTH AMERICA  INC.
YARA NORTH AMERICA  INC. 100 N. TAM
PA STREET  SUITE 3200 TAMPA  FL 336
02 USA","YARA NORGE AS
YARA NORGE AS YARA GLOMFJORD P O BO
X 190 8160 GLOMFJORD  NORWAY CONTAC
T  HEIDI NYMO / NINA SANDVIK",YARA ,YARA,GSSW - G2 Ocean Us Inc,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Antwerp, Belgium",Belgium,BEANR,SAGA SPRAY,0122,9014078,1250 BAG, ,1503,1503000 K,361000,15101030,Classified: 3102.60,FERTILIZER IN BIG BAGS Description: 1250 BIG BAGS CALCIUM NITRATE SOLUTION QUALITY PA34IP1200 Marks: NO MARKS,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SXBWA00152208002,Simple,1/29/2023,"YARA NORTH AMERICA, INC.,
100 NORTH TAMPA STREET, SUITE 3200
TAMPA, FL 33602, USA","YARA NORGE AS
YARA PORSGRUNN
N-3905 PORSGRUNN
NORWAY",YARA ,YARA,SXBW - Swire Bulk Pte Ltd,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Port Canaveral, Port Canaveral, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Heroen, Norway",Norway,"HEROYA,NORWAY",KIAN,2208,,1 BLK, ,5501,5501000 KG,1540000,15101030,Classified: 3102.60,CALCIUM NITRATE STG IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SXBWA00152208004,Simple,1/22/2023,"YARA NORTH AMERICA, INC.,
100 NORTH TAMPA STREET, SUITE 3200
TAMPA, FL 33602, USA","YARA NORGE AS
YARA PORSGRUNN
N-3905 PORSGRUNN
NORWAY",YARA ,YARA,SXBW - Swire Bulk Pte Ltd,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Norway,"Georgia Ports Authority, Savannah, Georgia",Southeast Region,Southeast Region,Georgia Ports,Southeast Region,"Heroen, Norway",Norway,"HEROYA,NORWAY",KIAN,2208,,1 BLK, ,2500,2500000 KG,700000,15101030,Classified: 3102.60,CALCIUM NITRATE STG IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Calcium Nitrate,",",",",",",,,,,,,,1
SFFVSTQZJA301001,Simple,1/4/2023,"YARA NORTH AMERICA, INC.
100 NORTH TAMPA STREET, SUITE 3200
P.O.BOX 24926
TAMPA, FLORIDA FL US 33602","YARA SUOMI OY
UUSIKAUPUNKI PLANT P.O.BOX 5
UUSIKAUPUNKI FI FI 23501",YARA ,YARA,SFFV - Spliethoff Transport B V,"YARA NORTH AMERICA INC
100 N TAMPA STREET SUITE 3200, TAMPA, FL 33602",Finland,"Jacksonville, Florida",Southeast Region,Southeast Region,North Florida,Southeast Region,"Rauma, Finland",Finland,FIRAU,STATENGRACHT,2301,9288045,2706 PKG, ,3253.69,3253694 K,2278000,15101030,Parsed: 3105.20,"Fertiliser in Big Bags AMMONIUM NITRATE BASED FERTILIZER (NON-HAZARDOUS) COMPLEX FERTILIZER NPK 17-07-14 IN 2706 BIG BAGS OF 1, 200. 00 KG NET / 1, 202. 40 KG GROSS HS/CN CODE 31052010",Bulk,Fertilizer,Nitrogen Fertilizers,Nitrates,",",",",",",,,,,,,,1
TIXVSSY001ULNO01,Simple,6/17/2025,"E.C.O. FERTILIZERS INC
200 S. PARK ROAD, STE 460
HOLLYWOOD, FL 33021","XFERT DMCC
UNIT NO: 2107, JBC2
JUMEIRAH LAKE TOWERS
DUBAI, UNITED ARAB EMIRATES
TELICENSE NUMBER: DMCC-865728",XFERT DMCC,E.C.O. FERTILIZERS INC,TIXV - Solar Gulf Shipping Dmcc,"E.C.O. FERTILIZERS INC
200 S. PARK ROAD, STE 460, HOLLYWOOD, FL 33021",United Arab Emirates,"Port of New Orleans, New Orleans, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Russia Baltic Region Ports, Russia",Russia,UST LUGA,STAR SYDNEY,1,9699373,1 BLK, ,50000,50000000 ET,18300000,15101030,Classified: 3102.10,GRANULAR UREA IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
TIXVSSY001ULNO02,Simple,6/17/2025,"E.C.O. FERTILIZERS INC
200 S. PARK ROAD, STE 460
HOLLYWOOD, FL 33021","XFERT DMCC
UNIT NO: 2107, JBC2
JUMEIRAH LAKE TOWERS
DUBAI, UNITED ARAB EMIRATES
TELICENSE NUMBER: DMCC-865728",XFERT DMCC,E.C.O. FERTILIZERS INC,TIXV - Solar Gulf Shipping Dmcc,"E.C.O. FERTILIZERS INC
200 S. PARK ROAD, STE 460, HOLLYWOOD, FL 33021",United Arab Emirates,"Port of New Orleans, New Orleans, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Russia Baltic Region Ports, Russia",Russia,UST LUGA,STAR SYDNEY,1,9699373,1 BLK, ,5000,5000000 ET,1830000,15101030,Classified: 3102.10,GRANULAR UREA IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
RSUYVEL022502,Simple,6/6/2025,"E.C.O. FERTILIZERS INC
200 S PARK RD, STE 460
HOLLYWOOD FL 33021","XFERT DMCC UNIT NO: 2107,
JBC2  JUMEIRAH LAKE TOWERS,DUBAI
UNITED ARAB EMIRATES",XFERT DMCC,E.C.O. FERTILIZERS INC,RSUY - Raffles Shipping International Pte Ltd,"E.C.O. FERTILIZERS INC
200 S PARK RD, STE 460, HOLLYWOOD FL 33021, OPERATIONS@ECOFERT.US",United Arab Emirates,"Port of Stockton, Stockton, California",Pacific Region,Pacific Region,California Ports,Pacific Region,"Leningrad, Russia",Russia,ST. PETERSBURG,VELA,0225,,1 LBK, ,22661.97,22661972 KG,5484000,15101030,Classified: 3102.80,"UREA AMMONIUM NITRATE SOLUTION (UAN), 32% N IN BULK",Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
TIXVMEA001ULNO01,Simple,5/29/2025,"E.C.O. FERTILIZERS INC
200 S. PARK ROAD, STE 460
HOLLYWOOD, FL 33021","XFERT DMCC
UNIT NO: 2107, JBC2
JUMEIRAH LAKE TOWERS
DUBAI, UNITED ARAB EMIRATES
TELICENSE NUMBER: DMCC-865728",XFERT DMCC,E.C.O. FERTILIZERS INC,TIXV - Solar Gulf Shipping Dmcc,"E.C.O. FERTILIZERS INC
200 S. PARK ROAD, STE 460, HOLLYWOOD, FL 33021",United Arab Emirates,"Port of New Orleans, New Orleans, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Russia Baltic Region Ports, Russia",Russia,UST LUGA,MEGHNA ADVENTURE,1,9805764,1 BLK, ,55000,55000000 ET,20735000,15101030,Classified: 3102.10,GRANULAR UREA IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
MQRW04092025001,Simple,5/4/2025,"ECO FERTILIZERS INC
200 S PARK RD STE 460 HOLLYWOOD FL
33021","XFERT DMCC
UNIT NO 2107 JBC2 JUMEIRAH LAKE
TOWERS DUBAI UNITED ARAB EMIRATES",XFERT DMCC,E.C.O. FERTILIZERS INC,MQRW - Millenary Shipping Ltd,"ECO FERTILIZERS INC
200 S PARK RD STE 460 HOLLYWOOD FL, 33021",United Arab Emirates,"Port of New Orleans, New Orleans, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Russia Baltic Region Ports, Russia",Russia,UST LUGA,SAINT MYRON,24,,1 DBK, ,61849,61849000 KG,19730000,15101030,Classified: 3102.10,GRANULAR UREA IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
MQRW04092025002,Simple,5/4/2025,"ECO FERTILIZERS INC
200 S PARK RD STE 460 HOLLYWOOD FL
33021","XFERT DMCC
UNIT NO 2107 JBC2 JUMEIRAH LAKE
TOWERS DUBAI UNITED ARAB EMIRATES",XFERT DMCC,E.C.O. FERTILIZERS INC,MQRW - Millenary Shipping Ltd,"ECO FERTILIZERS INC
200 S PARK RD STE 460 HOLLYWOOD FL, 33021",United Arab Emirates,"Port of New Orleans, New Orleans, Louisiana",South Central Region,South Central Region,Lower Mississippi River,South Central Region,"All Other Russia Baltic Region Ports, Russia",Russia,UST LUGA,SAINT MYRON,24,,1 DBK, ,3249,3249000 KG,1036000,15101030,Classified: 3102.10,GRANULAR UREA IN BULK,Bulk,Fertilizer,Nitrogen Fertilizers,Urea,",",",",",",,,,,,,,1
GSSWJAV13700A,Simple,6/8/2024,"BARRAZA Y COMPANIA, S.A.
BARRAZA Y COMPANIA, S.A. SAN MIGUEL
ITO TRANSISTMICA MILLA 6 CIA,PANAMA
REPUBLICA DE PANAMA TAX IDENTIFIC
ATION NUMBER: 325-581- PH:(507)267-","WODEHAOTAI TRADING CO.,LIMITED
WODEHAOTAI TRADING CO.,LIMITED ADDR
ESS:ROOM 2003, TEDA CENTRAL HOT TED
A, TIANJIN, CHINA PHI  +86 22590673
93","WODEHAOTAI TRADING CO.,LIMITED","BARRAZA Y COMPANIA, S.A.",GSSW - G2 Ocean Us Inc,"BARRAZA Y COMPANIA, S.A.
BARRAZA Y COMPANIA, S.A. SAN MIGUEL, ITO TRANSISTMICA MILLA 6 CIA,PANAMA, , REPUBLICA DE PANAMA TAX IDENTIFIC, ATION NUMBER: 325-581- PH:(507)267-",China,Panama,,,"Houston, Galveston",Southwest Region,"Dagu/Tanggu, China",China,CNTXG,STAR JAVA,2403,9310513,3000 BAG,3000 X,3006,3006000 K,361000,15101010,Parsed: 2833.11,"SODIUM SULPHATE IN BAGS Description: 3000 N/M 3000 BAGS SODIUM SULFATE ANHYDROUS 99% MIN PACKED IN 1000KG BAGS HS CODE: 28331100 TOTAL 3000, 000. 00 KG CIF - FILO CRISTOBAL PORT, PANAMA FREIGHT PREPAID TOTAL SEA FREIGHT: USD180360. 00 CLEAN ON BOARD SAY: TOTAL THREE THOUSAND BAGS ONLY. Marks: NO MARKS",Bulk,Fertilizer,"Misc, Complex Fertilizers",Sodium Sulphate,",",",",",",,,,,,,,1
